"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data45",13.6765,9,56,0.1343,0.0102,0.0032,0.9998,1,17875.8142,17510.8626,-8699.4313,0.9924,0.99,0.6962,0.9563,0.9344,"converged normally"
"data46",10.4086,9,56,0.3184,0.0056,0.0028,0.9999,1,19456.699,19091.7473,-9489.8737,0.9924,0.9901,0.6948,0.9577,0.9403,"converged normally"
"data47",6.0173,9,56,0.7382,0,0.0014,1.0001,1,21379.608,21014.6564,-10451.3282,0.9935,0.9903,0.6962,0.961,0.9453,"converged normally"
"data48",10.3824,9,56,0.3204,0.0055,0.0014,0.9999,1,18196.0046,17831.0529,-8859.5265,0.9925,0.9903,0.6751,0.9517,0.928,"converged normally"
"data49",10.5553,9,56,0.3074,0.0059,0.0017,0.9999,1,19888.2666,19523.315,-9705.6575,0.9926,0.9897,0.6977,0.9636,0.9485,"converged normally"
"data5",17.5834,9,56,0.0403,0.0138,0.0035,0.9996,0.9999,18937.4767,18572.5251,-9230.2626,0.9931,0.9901,0.6957,0.9568,0.9337,"converged normally"
"data50",16.8944,9,56,0.0504,0.0132,0.0043,0.9997,0.9999,17865.1103,17500.1587,-8694.0793,0.9922,0.9902,0.6768,0.9619,0.9452,"converged normally"
"data51",10.9985,9,56,0.2758,0.0067,0.0029,0.9999,1,18837.1693,18472.2177,-9180.1089,0.9927,0.9895,0.6907,0.9608,0.9449,"converged normally"
"data52",21.1218,9,56,0.0121,0.0164,0.0052,0.9995,0.9999,19446.1501,19081.1984,-9484.5992,0.9923,0.9897,0.6954,0.9588,0.94,"converged normally"
"data53",9.2492,9,56,0.4146,0.0024,0.0014,1,1,19214.486,18849.5344,-9368.7672,0.9926,0.9903,0.7088,0.956,0.9368,"converged normally"
"data54",13.3303,9,56,0.1482,0.0098,0.002,0.9998,1,18868.9111,18503.9595,-9195.9798,0.9931,0.9901,0.6965,0.9591,0.9384,"converged normally"
"data55",13.7842,9,56,0.1302,0.0103,0.002,0.9998,1,18281.1656,17916.214,-8902.107,0.9929,0.9889,0.6827,0.952,0.9288,"converged normally"
"data56",12.735,9,56,0.175,0.0091,0.0016,0.9998,1,19718.5081,19353.5565,-9620.7782,0.993,0.9901,0.6947,0.9629,0.9471,"converged normally"
"data57",13.6965,9,56,0.1335,0.0102,0.0017,0.9998,1,18959.2096,18594.258,-9241.129,0.993,0.9896,0.6939,0.9604,0.9414,"converged normally"
"data58",9.4786,9,56,0.3943,0.0033,0.0021,1,1,18966.607,18601.6554,-9244.8277,0.993,0.989,0.6871,0.9573,0.938,"converged normally"
"data59",11.3231,9,56,0.2542,0.0072,0.0015,0.9999,1,19756.8327,19391.8811,-9639.9405,0.9929,0.9896,0.682,0.9649,0.951,"converged normally"
"data6",15.3933,9,56,0.0807,0.0119,0.0026,0.9997,0.9999,18022.1846,17657.233,-8772.6165,0.9921,0.9897,0.6544,0.9534,0.9264,"converged normally"
"data60",11.8959,9,56,0.2192,0.008,0.0026,0.9999,1,17966.672,17601.7204,-8744.8602,0.9921,0.9891,0.6723,0.956,0.9364,"converged normally"
"data7",15.9124,9,56,0.0687,0.0124,0.0023,0.9997,0.9999,19366.1904,19001.2388,-9444.6194,0.9926,0.9904,0.6749,0.9532,0.9294,"converged normally"
"data8",8.0549,9,56,0.5286,0,0.0015,1,1,18196.8779,17831.9263,-8859.9632,0.9923,0.9892,0.6771,0.9521,0.9311,"converged normally"
"data9",9.6196,9,56,0.3822,0.0037,7e-04,1,1,18143.445,17778.4934,-8833.2467,0.9931,0.9906,0.6907,0.9518,0.9242,"converged normally"
