"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","status"
"data19",195.3126,61,128,0,0.021,0.0023,0.998,0.9992,89002.2578,88168.0827,-43956.0414,0.772,0.9271,0.9257,0.9528,0.9287,0.9847,0.9733,0.9452,0.7643,"converged normally"
"data2",217.8493,61,128,0,0.0227,0.0029,0.9977,0.9991,87630.3848,86796.2097,-43270.1049,0.7767,0.9268,0.9275,0.957,0.9285,0.9847,0.9713,0.9471,0.7615,"converged normally"
"data20",150.5301,61,128,0,0.0171,0.0028,0.9987,0.9995,88089.9224,87255.7473,-43499.8737,0.7739,0.9219,0.9257,0.9527,0.9321,0.9859,0.9731,0.9457,0.7599,"converged normally"
"data21",187.2408,61,128,0,0.0203,0.0023,0.9981,0.9993,86097.0429,85262.8678,-42503.4339,0.7782,0.928,0.9299,0.9555,0.9324,0.9857,0.9742,0.9489,0.767,"converged normally"
"data22",127.2727,61,128,0,0.0147,0.0015,0.999,0.9996,87201.0968,86366.9216,-43055.4608,0.7748,0.926,0.9284,0.9541,0.9308,0.9852,0.9747,0.9449,0.7694,"converged normally"
"data23",147.5131,61,128,0,0.0168,0.0025,0.9987,0.9995,87079.7345,86245.5594,-42994.7797,0.7743,0.927,0.9293,0.9542,0.9319,0.9856,0.9734,0.9474,0.7585,"converged normally"
"data24",207.7547,61,128,0,0.0219,0.0025,0.9978,0.9991,87646.8035,86812.6284,-43278.3142,0.7817,0.93,0.9228,0.9554,0.9305,0.9849,0.9724,0.9448,0.7714,"converged normally"
"data25",128.6217,61,128,0,0.0149,0.0018,0.999,0.9996,88473.9759,87639.8008,-43691.9004,0.7663,0.9251,0.9244,0.9493,0.9326,0.9855,0.9731,0.9435,0.7856,"converged normally"
"data26",204.334,61,128,0,0.0217,0.0026,0.9979,0.9992,82104.8935,81270.7183,-40507.3592,0.793,0.936,0.9309,0.9592,0.9385,0.9868,0.9749,0.9482,0.7788,"converged normally"
"data27",151.7449,61,128,0,0.0173,0.0029,0.9987,0.9995,85224.5296,84390.3545,-42067.1773,0.7859,0.9301,0.9281,0.956,0.9368,0.9861,0.9756,0.9478,0.7461,"converged normally"
"data28",144.8105,61,128,0,0.0166,0.0019,0.9987,0.9995,91360.1917,90526.0165,-45135.0083,0.7585,0.917,0.9231,0.95,0.9263,0.9852,0.9725,0.9426,0.7456,"converged normally"
"data29",114.5137,61,128,0,0.0132,0.0027,0.9992,0.9997,84779.8502,83945.675,-41844.8375,0.7735,0.927,0.9314,0.9542,0.9324,0.9863,0.9751,0.95,0.7791,"converged normally"
"data3",166.299,61,128,0,0.0186,0.0035,0.9985,0.9994,85371.4094,84537.2343,-42140.6171,0.7673,0.9292,0.9283,0.9536,0.938,0.9868,0.9748,0.9462,0.7658,"converged normally"
"data30",157.6637,61,128,0,0.0178,0.002,0.9986,0.9994,88156.7195,87322.5444,-43533.2722,0.7673,0.9225,0.9248,0.9531,0.932,0.9856,0.9738,0.9438,0.7513,"converged normally"
"data31",159.5209,61,128,0,0.018,0.0028,0.9985,0.9994,87380.3606,86546.1855,-43145.0927,0.7727,0.9259,0.9292,0.9536,0.9312,0.9857,0.9738,0.9467,0.7383,"converged normally"
"data32",157.2137,61,128,0,0.0178,0.0022,0.9986,0.9994,86323.4318,85489.2566,-42616.6283,0.7902,0.9355,0.9255,0.9586,0.9296,0.9849,0.9711,0.946,0.7474,"converged normally"
"data33",206.2393,61,128,0,0.0218,0.0022,0.9979,0.9991,86512.9601,85678.7849,-42711.3925,0.7857,0.9331,0.9263,0.9542,0.9316,0.9855,0.9737,0.9459,0.7633,"converged normally"
"data34",186.6762,61,128,0,0.0203,0.0021,0.9981,0.9993,88226.207,87392.0318,-43568.0159,0.7584,0.9238,0.927,0.9501,0.9283,0.9862,0.9738,0.9464,0.777,"converged normally"
"data35",218.8427,61,128,0,0.0228,0.0031,0.9976,0.9991,88168.3907,87334.2156,-43539.1078,0.7691,0.9261,0.9282,0.9526,0.93,0.9851,0.9727,0.9432,0.761,"converged normally"
"data36",185.241,61,128,0,0.0202,0.0023,0.9982,0.9993,85017.9949,84183.8198,-41963.9099,0.7717,0.9288,0.9317,0.9536,0.9362,0.9867,0.9752,0.9482,0.7657,"converged normally"
"data37",167.3101,61,128,0,0.0187,0.0024,0.9984,0.9994,85161.9692,84327.7941,-42035.897,0.7843,0.9307,0.9323,0.9563,0.9327,0.9855,0.9752,0.9489,0.7421,"converged normally"
"data38",165.0707,61,128,0,0.0185,0.003,0.9985,0.9994,87164.2731,86330.098,-43037.049,0.7655,0.9233,0.9306,0.9529,0.9333,0.9861,0.9752,0.9477,0.7405,"converged normally"
"data39",169.5637,61,128,0,0.0189,0.0034,0.9983,0.9993,91575.887,90741.7118,-45242.8559,0.7787,0.9238,0.9196,0.9531,0.9254,0.9842,0.9696,0.9379,0.7604,"converged normally"
"data4",198.7373,61,128,0,0.0213,0.002,0.998,0.9992,83477.9163,82643.7412,-41193.8706,0.785,0.933,0.9332,0.9567,0.9365,0.9858,0.9742,0.9496,0.7637,"converged normally"
"data40",171.2091,61,128,0,0.019,0.0029,0.9983,0.9993,89168.4979,88334.3228,-44039.1614,0.7608,0.9223,0.9242,0.953,0.9285,0.9851,0.972,0.9456,0.7786,"converged normally"
"data41",165.5724,61,128,0,0.0185,0.002,0.9984,0.9994,91805.247,90971.0718,-45357.5359,0.7614,0.9179,0.9194,0.9508,0.9277,0.9848,0.9716,0.9404,0.7632,"converged normally"
"data42",179.8582,61,128,0,0.0197,0.0034,0.9983,0.9993,85212.3812,84378.206,-42061.103,0.7939,0.9316,0.9265,0.9573,0.9326,0.9855,0.9728,0.9488,0.7559,"converged normally"
"data43",149.882,61,128,0,0.0171,0.0023,0.9987,0.9995,85768.024,84933.8489,-42338.9245,0.7855,0.9319,0.9292,0.9567,0.9315,0.9854,0.9723,0.9457,0.7669,"converged normally"
"data44",125.979,61,128,0,0.0146,0.0024,0.999,0.9996,88755.2755,87921.1003,-43832.5502,0.7689,0.9271,0.9244,0.9547,0.9306,0.9848,0.9714,0.9409,0.7735,"converged normally"
"data45",173.0059,61,128,0,0.0192,0.0036,0.9983,0.9993,87491.2356,86657.0604,-43200.5302,0.7911,0.9299,0.9265,0.9574,0.928,0.9843,0.9703,0.9469,0.7631,"converged normally"
"data46",156.0375,61,128,0,0.0177,0.0028,0.9986,0.9994,86258.719,85424.5439,-42584.2719,0.7765,0.9282,0.9328,0.955,0.9313,0.9856,0.9736,0.9463,0.7405,"converged normally"
"data47",156.5413,61,128,0,0.0177,0.0041,0.9986,0.9994,84195.5515,83361.3764,-41552.6882,0.7797,0.932,0.9352,0.9569,0.9349,0.9854,0.9745,0.9503,0.749,"converged normally"
"data48",205.4682,61,128,0,0.0218,0.0042,0.9979,0.9991,87033.6306,86199.4555,-42971.7277,0.7812,0.9293,0.9252,0.9574,0.9321,0.9855,0.9716,0.9449,0.7484,"converged normally"
"data49",143.7819,61,128,0,0.0165,0.0024,0.9988,0.9995,87989.8981,87155.723,-43449.8615,0.7815,0.926,0.9272,0.9546,0.9304,0.9853,0.9726,0.9454,0.764,"converged normally"
"data5",150.5073,61,128,0,0.0171,0.0024,0.9987,0.9995,85342.916,84508.7408,-42126.3704,0.7662,0.9274,0.9322,0.9537,0.9322,0.9865,0.9752,0.9478,0.7793,"converged normally"
"data50",205.3088,61,128,0,0.0218,0.0029,0.9979,0.9992,85544.6784,84710.5032,-42227.2516,0.7803,0.931,0.93,0.9556,0.9318,0.9859,0.9738,0.9458,0.7659,"converged normally"
"data51",194.1632,61,128,0,0.0209,0.0033,0.998,0.9992,88845.3467,88011.1715,-43877.5858,0.7569,0.9215,0.9253,0.95,0.9285,0.9853,0.9752,0.9445,0.7728,"converged normally"
"data52",139.9718,61,128,0,0.0161,0.0034,0.9988,0.9995,85480.4994,84646.3243,-42195.1621,0.7724,0.926,0.9312,0.9544,0.9359,0.9864,0.9748,0.9475,0.7651,"converged normally"
"data53",161.9223,61,128,0,0.0182,0.0022,0.9985,0.9994,89311.497,88477.3219,-44110.661,0.7687,0.9241,0.9238,0.9518,0.9292,0.9847,0.9717,0.9439,0.7756,"converged normally"
"data54",138.6027,61,128,0,0.016,0.0038,0.9988,0.9995,89841.9915,89007.8164,-44375.9082,0.7635,0.9167,0.9251,0.9488,0.9299,0.9859,0.9746,0.9428,0.7624,"converged normally"
"data55",181.5127,61,128,0,0.0199,0.0029,0.9982,0.9993,89578.6179,88744.4428,-44244.2214,0.767,0.9248,0.929,0.9533,0.9259,0.9844,0.9699,0.9414,0.7671,"converged normally"
"data56",163.7389,61,128,0,0.0184,0.003,0.9985,0.9994,84500.0318,83665.8566,-41704.9283,0.7886,0.9294,0.9321,0.9565,0.9357,0.9864,0.9736,0.9473,0.7609,"converged normally"
"data57",184.0445,61,128,0,0.0201,0.0029,0.9981,0.9993,91891.7166,91057.5415,-45400.7707,0.7593,0.9177,0.9243,0.9476,0.9229,0.9845,0.972,0.9439,0.7577,"converged normally"
"data58",133.2344,61,128,0,0.0154,0.0033,0.9989,0.9996,89326.257,88492.0818,-44118.0409,0.7715,0.9224,0.9231,0.9525,0.9288,0.9852,0.9718,0.9442,0.7639,"converged normally"
"data59",174.5876,61,128,0,0.0193,0.0026,0.9983,0.9993,85152.7233,84318.5482,-42031.2741,0.79,0.9303,0.9302,0.9558,0.9334,0.9862,0.9728,0.9489,0.7706,"converged normally"
"data6",145.4409,61,128,0,0.0166,0.0025,0.9987,0.9995,87624.061,86789.8859,-43266.9429,0.7707,0.921,0.9285,0.9537,0.9296,0.986,0.9746,0.9444,0.7659,"converged normally"
"data60",164.3411,61,128,0,0.0184,0.0021,0.9985,0.9994,86676.7785,85842.6033,-42793.3017,0.7765,0.9283,0.9264,0.9575,0.9328,0.9856,0.9731,0.9465,0.7805,"converged normally"
"data7",169.1062,61,128,0,0.0188,0.0033,0.9984,0.9994,86096.112,85261.9369,-42502.9685,0.7714,0.9253,0.9316,0.9538,0.9305,0.9862,0.9757,0.9486,0.7518,"converged normally"
"data8",164.7252,61,128,0,0.0184,0.0024,0.9985,0.9994,86596.2146,85762.0395,-42753.0198,0.7791,0.9284,0.9279,0.9553,0.9323,0.9859,0.9734,0.9437,0.756,"converged normally"
"data9",157.7832,61,128,0,0.0178,0.0017,0.9986,0.9994,83303.2047,82469.0295,-41106.5148,0.8013,0.937,0.9291,0.96,0.9366,0.986,0.9715,0.9495,0.7495,"converged normally"
