"file","lhs","op","rhs","beta","se","z","pval","level"
"data11","X6","~","X7lag",-0.3832805261963,0.00817294157697604,-46.8962762778138,0,"group"
"data11","X4","~","X3lag",-0.608915036401904,0.0135799007348451,-44.8394320614929,0,"group"
"data11","X4","~","X2lag",-0.498984720653032,0.0222206686786095,-22.4558823080502,0,"group"
"data11","X4","~","X5lag",-0.429080023435379,0.0123458820932459,-34.7549101955312,0,"group"
"data11","X1","~","X4lag",-0.105525546872778,0.0206388660603703,-5.11295274479265,3.17161660268184e-07,"group"
"data11","X6","~","X9lag",-0.0428717506993526,0.00363796107509572,-11.7845545387603,0,"group"
"data11","X3","~","X2",-0.490585067554894,0.0114226019960045,-42.9486265674401,0,"group"
"data11","X5","~","X4lag",0.790567825625095,0.018475454697103,42.7901688259429,0,"group"
"data11","X5","~","X3lag",0.697172545318152,0.0166404265176827,41.8963146513891,0,"group"
"data11","X6","~","X8lag",0.268804191355175,0.0106367018318434,25.2713853979104,0,"group"
"data11","X1","~","X3lag",0.3253539575021,0.0188756806419528,17.2366741985967,0,"group"
"data11","X2","~","X3lag",-0.570249798332521,0.00738637465187128,-77.20293448533,0,"group"
"data11","X4","~","X8",-0.22253182932431,0.0251252469643353,-8.85690117355615,0,"group"
"data11","X6","~","X2",0.0579637383943395,0.00581069945493472,9.9753461427288,0,"group"
"data11","X3","~","X8lag",-0.284312171926372,0.0126090460596833,-22.5482697565397,0,"group"
"data11","X8","~","X3",-0.203914668853782,0.0130535253424262,-15.621425132644,0,"group"
"data11","X8","~","X4",-0.242379486251663,0.0225949546874577,-10.7271508000061,0,"group"
"data11","X5","~","X2",0.167101602877105,0.0147183298702948,11.3532992091961,0,"group"
"data11","X2","~","X5lag",0.634052297714424,0.0088975232113192,71.2616626734729,0,"group"
"data11","X2","~","X4lag",0.494907021975207,0.00610366681379608,81.0835579780619,0,"group"
"data11","X6","~","X9",0.0408004601846261,0.00359909919702399,11.3362977653861,0,"group"
"data11","X1","~","X5",-0.297022886155432,0.0246750843189762,-12.0373605340432,0,"group"
"data11","X8","~","X7",-0.608369254371805,0.0306244936837611,-19.8654469410672,0,"group"
"data11","X8","~","X7lag",0.286794921945088,0.0160887577622769,17.8257965085118,0,"group"
"data11","X7","~","X3",0.15360745824644,0.0110977086247786,13.8413670280971,0,"group"
"data11","X7","~","X2",0.207341107939268,0.0102292996185415,20.2693356995275,0,"group"
"data11","X6","~","X4",-0.0491146317113998,0.00608095192788085,-8.07679986520066,6.66133814775094e-16,"group"
"data11","X1","~","X4",-0.15090750941053,0.0208493589854155,-7.23799276112482,4.55413484701239e-13,"group"
"data11","X7","~","X2lag",-0.170095481416189,0.0129140614294804,-13.17133903575,0,"group"
"data11","X7","~","X4",-0.125220248116131,0.0111799146725446,-11.2004654582601,0,"group"
"data11","X7","~","X5",-0.106564836618754,0.0101153161404515,-10.5349981294799,0,"group"
"data11","X5","~","X4",-0.108619047715177,0.0167398569811873,-6.48864848948505,8.6609830418638e-11,"group"
"data11","X4","~","X8lag",0.0558177445603412,0.0123749015732469,4.51056068849977,6.46564997053289e-06,"group"
"data11","X5","~","X3",-0.0562759460691181,0.0149097354187541,-3.77444297222954,0.000160365586561406,"group"
"data12","X1","~","X1lag",-0.686156260428149,0.0113148990585124,-60.6418366509368,0,"group"
"data12","X2","~","X2lag",-0.40188171476992,0.00677446219726239,-59.3230433749152,0,"group"
"data12","X3","~","X3lag",0.207679710769296,0.0110263497749341,18.8348560501327,0,"group"
"data12","X4","~","X4lag",-0.281577693190837,0.0150230677480954,-18.7430222583223,0,"group"
"data12","X5","~","X5lag",0.00726037983144015,0.0128227070575041,0.566212719270636,0.571249184500654,"group"
"data12","X6","~","X6lag",-0.114916449941571,0.0063129384224152,-18.203321853028,0,"group"
"data12","X7","~","X7lag",0.466096333111573,0.00790900039685091,58.9323947052976,0,"group"
"data12","X8","~","X8lag",-0.226990743310442,0.0254482406658052,-8.91970279169238,0,"group"
"data12","X9","~","X9lag",-0.874283529190778,0.00333262203517887,-262.341039566418,0,"group"
"data12","X3","~","X8",1.00552992938628,0.00800319345660878,125.641087503133,0,"group"
"data12","X6","~","X7",-0.512491083992988,0.0114853359810505,-44.6213401887887,0,"group"
"data12","X6","~","X4lag",0.543133240137071,0.0101134631255024,53.7039818504394,0,"group"
"data12","X7","~","X8lag",-0.860595683973929,0.0103452018341664,-83.1879066033974,0,"group"
"data12","X7","~","X5lag",0.38867776515279,0.0114415789715414,33.970640426426,0,"group"
"data12","X7","~","X4lag",-0.592091051352899,0.0136658963912476,-43.3261773982208,0,"group"
"data12","X1","~","X2lag",0.468733235260256,0.0233069496003518,20.1113077128369,0,"group"
"data12","X8","~","X2lag",0.83463244596366,0.0119624145287181,69.7712358955598,0,"group"
"data12","X8","~","X4lag",0.345621906006793,0.0147820731728971,23.3811524245793,0,"group"
"data12","X8","~","X5lag",-0.284024539634206,0.0226876256591301,-12.5189186343925,0,"group"
