"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","status"
"data38",110.8059,67,122,6e-04,0.0114,0.0039,0.9995,0.9998,312.5592,-482.514,363.257,0.9305,0.7493,0.552,0.8147,0.6567,0.9993,0.9998,0.981,0.2657,"converged normally"
"data39",100.3092,67,122,0.0052,0.01,0.0054,0.9996,0.9998,-692.3114,-1487.3846,865.6923,0.9294,0.7431,0.5703,0.8196,0.6337,0.9994,0.9998,0.9813,0.2504,"converged normally"
"data4",129.6991,67,122,0,0.0137,0.0042,0.9992,0.9997,-2173.2214,-2968.2946,1606.1473,0.9337,0.7559,0.5624,0.8149,0.6394,0.9991,0.9997,0.9814,0.251,"converged normally"
"data40",91.9696,67,122,0.0232,0.0086,0.0061,0.9997,0.9999,-2062.1118,-2857.185,1550.5925,0.9347,0.7592,0.5641,0.8187,0.6601,0.9992,0.9997,0.9822,0.244,"converged normally"
"data41",104.1666,67,122,0.0025,0.0105,0.0046,0.9995,0.9998,-49.4026,-844.4758,544.2379,0.938,0.7535,0.5713,0.8179,0.6419,0.9992,0.9997,0.9811,0.2638,"converged normally"
"data42",115.9954,67,122,2e-04,0.0121,0.0044,0.9994,0.9997,-882.5183,-1677.5914,960.7957,0.9325,0.7553,0.5528,0.8109,0.648,0.9993,0.9997,0.9805,0.2659,"converged normally"
"data43",124.407,67,122,0,0.0131,0.0053,0.9993,0.9997,-696.7045,-1491.7776,867.8888,0.9343,0.7506,0.5517,0.8262,0.6387,0.9993,0.9997,0.9814,0.2451,"converged normally"
"data44",90.2634,67,122,0.0307,0.0083,0.0056,0.9997,0.9999,-279.6359,-1074.709,659.3545,0.9287,0.7487,0.5528,0.8156,0.6342,0.9994,0.9998,0.9822,0.2571,"converged normally"
"data45",113.2251,67,122,4e-04,0.0117,0.006,0.9994,0.9998,1249.9344,454.8613,-105.4306,0.9291,0.7375,0.5561,0.8242,0.6423,0.9995,0.9998,0.9823,0.25,"converged normally"
"data46",84.8488,67,122,0.0695,0.0073,0.0045,0.9998,0.9999,-559.0996,-1354.1728,799.0864,0.9338,0.7504,0.58,0.8172,0.6339,0.9994,0.9998,0.9812,0.2476,"converged normally"
"data47",105.5335,67,122,0.0019,0.0107,0.0054,0.9995,0.9998,-1523.8556,-2318.9287,1281.4644,0.9314,0.7328,0.5614,0.8034,0.6142,0.9994,0.9997,0.9793,0.2663,"converged normally"
"data48",113.4157,67,122,3e-04,0.0118,0.0039,0.9994,0.9998,361.2344,-433.8388,338.9194,0.9375,0.758,0.5551,0.824,0.6477,0.9994,0.9998,0.9816,0.2609,"converged normally"
"data49",88.9201,67,122,0.0379,0.0081,0.0033,0.9997,0.9999,180.5042,-614.569,429.2845,0.9353,0.7539,0.5725,0.8229,0.6568,0.9993,0.9997,0.982,0.2497,"converged normally"
"data5",118.0558,67,122,1e-04,0.0123,0.0035,0.9994,0.9997,-1474.2048,-2269.278,1256.639,0.9303,0.7368,0.559,0.8125,0.6356,0.9993,0.9997,0.9811,0.2509,"converged normally"
"data50",99.0027,67,122,0.0067,0.0098,0.0049,0.9996,0.9998,1001.6318,206.5586,18.7207,0.9322,0.7414,0.5729,0.8286,0.6564,0.9994,0.9998,0.9825,0.2357,"converged normally"
"data51",111.8917,67,122,5e-04,0.0116,0.0059,0.9994,0.9998,-601.5101,-1396.5833,820.2916,0.9294,0.7343,0.5583,0.8158,0.6451,0.9994,0.9998,0.9812,0.2444,"converged normally"
"data52",125.6004,67,122,0,0.0132,0.0036,0.9993,0.9997,2391.411,1596.3378,-676.1689,0.9339,0.7571,0.5694,0.8237,0.6424,0.9994,0.9998,0.9824,0.2499,"converged normally"
"data53",108.2345,67,122,0.0011,0.0111,0.0052,0.9995,0.9998,69.7604,-725.3128,484.6564,0.9343,0.7576,0.5499,0.8033,0.6211,0.9994,0.9998,0.9801,0.2601,"converged normally"
"data54",121.5699,67,122,1e-04,0.0128,0.0061,0.9993,0.9997,-517.6521,-1312.7253,778.3626,0.9372,0.7573,0.5671,0.8155,0.629,0.9992,0.9997,0.9818,0.2564,"converged normally"
"data55",95.085,67,122,0.0136,0.0092,0.0042,0.9997,0.9999,2501.8755,1706.8023,-731.4011,0.9303,0.7405,0.5469,0.8226,0.6463,0.9995,0.9998,0.9825,0.2615,"converged normally"
"data56",110.595,67,122,6e-04,0.0114,0.0044,0.9994,0.9998,-1944.0575,-2739.1307,1491.5654,0.9304,0.7498,0.5282,0.8054,0.6341,0.9992,0.9997,0.9792,0.2374,"converged normally"
"data57",108.1166,67,122,0.0011,0.0111,0.0045,0.9995,0.9998,-33.6256,-828.6988,536.3494,0.934,0.7438,0.567,0.815,0.6311,0.9993,0.9997,0.9815,0.2513,"converged normally"
"data58",91.8455,67,122,0.0237,0.0086,0.0036,0.9997,0.9999,-1683.0559,-2478.1291,1361.0645,0.9355,0.7453,0.535,0.8041,0.6303,0.9993,0.9997,0.9795,0.2554,"converged normally"
"data59",128.9,67,122,0,0.0136,0.005,0.9992,0.9997,-1313.3284,-2108.4015,1176.2008,0.9336,0.7447,0.566,0.8121,0.6269,0.9992,0.9997,0.9801,0.2529,"converged normally"
"data6",94.872,67,122,0.0142,0.0091,0.0028,0.9996,0.9998,-802.5615,-1597.6346,920.8173,0.9329,0.7429,0.5521,0.8067,0.6071,0.9993,0.9997,0.9793,0.2423,"converged normally"
"data60",107.8293,67,122,0.0012,0.011,0.0043,0.9995,0.9998,680.418,-114.6552,179.3276,0.9391,0.7476,0.5637,0.8133,0.6274,0.9993,0.9997,0.9802,0.2526,"converged normally"
"data7",93.4781,67,122,0.018,0.0089,0.0054,0.9997,0.9999,1040.3506,245.2775,-0.6387,0.9353,0.7592,0.5476,0.8139,0.6319,0.9993,0.9997,0.9805,0.2697,"converged normally"
"data8",152.5166,67,122,0,0.016,0.0048,0.999,0.9995,467.2678,-327.8053,285.9027,0.9333,0.7455,0.5495,0.8168,0.647,0.9995,0.9998,0.9821,0.242,"converged normally"
"data9",114.2236,67,122,3e-04,0.0119,0.0055,0.9994,0.9997,-1429.0083,-2224.0814,1234.0407,0.9355,0.7543,0.5399,0.8173,0.6271,0.9993,0.9997,0.9806,0.2467,"converged normally"
