"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"concat_BOLDfslfilter_21",937.5229,90,140,0,0.0434,0.0146,0.9771,0.9891,404295.5061,403383.127,-201551.5635,0.511,0.6649,0.6553,0.7059,0.5977,0.6423,0.5854,0.6293,0.7438,0.679,"converged normally"
"concat_BOLDfslfilter_22",848.8014,90,140,0,0.0411,0.0147,0.9801,0.9906,407456.9141,406544.5351,-203132.2675,0.5282,0.6893,0.6608,0.6969,0.6373,0.6625,0.619,0.6289,0.7183,0.6969,"converged normally"
"concat_BOLDfslfilter_23",697.8388,90,140,0,0.0368,0.0137,0.9842,0.9925,399503.1697,398590.7907,-199155.3953,0.553,0.6421,0.6664,0.7141,0.6217,0.667,0.593,0.653,0.7401,0.7005,"converged normally"
"concat_BOLDfslfilter_24",760.3756,90,140,0,0.0386,0.0149,0.9814,0.9912,400734.9355,399822.5564,-199771.2782,0.5361,0.6307,0.6674,0.6651,0.6136,0.6605,0.5795,0.6254,0.7226,0.6723,"converged normally"
"concat_BOLDfslfilter_25",899.2627,90,140,0,0.0424,0.0162,0.9784,0.9898,404165.908,403253.5289,-201486.7645,0.5397,0.655,0.6689,0.6847,0.6294,0.6999,0.6119,0.622,0.715,0.66,"converged normally"
"concat_BOLDfslfilter_26",853.4676,90,140,0,0.0412,0.0143,0.9804,0.9907,400217.4714,399305.0924,-199512.5462,0.5164,0.6833,0.7003,0.7026,0.6403,0.6672,0.6069,0.6181,0.7414,0.6826,"converged normally"
"concat_BOLDfslfilter_27",740.7981,90,140,0,0.038,0.0131,0.982,0.9915,396982.8849,396070.5059,-197895.2529,0.5457,0.6407,0.6681,0.7135,0.6059,0.6194,0.5705,0.6283,0.7257,0.6497,"converged normally"
"concat_BOLDfslfilter_28",798.8277,90,140,0,0.0397,0.0131,0.9826,0.9917,400007.3329,399094.9539,-199407.4769,0.5291,0.6941,0.71,0.7215,0.6385,0.6654,0.6149,0.641,0.761,0.7012,"converged normally"
"concat_BOLDfslfilter_29",839.1479,90,140,0,0.0408,0.0156,0.9791,0.9901,400580.2456,399667.8666,-199693.9333,0.5533,0.6502,0.6593,0.6765,0.6197,0.6672,0.5914,0.6317,0.7017,0.6159,"converged normally"
"concat_BOLDfslfilter_30",959.4457,90,140,0,0.044,0.0167,0.9777,0.9894,401268.2144,400355.8354,-200037.9177,0.546,0.6874,0.6787,0.701,0.6063,0.6973,0.6036,0.6473,0.7399,0.6619,"converged normally"
"concat_BOLDfslfilter_31",853.9589,90,140,0,0.0412,0.0158,0.9799,0.9905,400510.9936,399598.6145,-199659.3073,0.5428,0.6362,0.6951,0.6944,0.6475,0.683,0.578,0.6422,0.7228,0.6716,"converged normally"
"concat_BOLDfslfilter_32",697.3134,90,140,0,0.0367,0.0129,0.9838,0.9923,397094.3758,396181.9968,-197950.9984,0.5534,0.6523,0.69,0.6882,0.6141,0.6658,0.599,0.6421,0.7381,0.6277,"converged normally"
"concat_BOLDfslfilter_33",666.4468,90,140,0,0.0358,0.0122,0.9846,0.9927,400919.5171,400007.138,-199863.569,0.5166,0.6464,0.6762,0.7231,0.6585,0.6306,0.6004,0.6253,0.7262,0.6713,"converged normally"
