"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","status"
"data23",168.1919,49,103,0,0.0221,0.0045,0.9987,0.9995,10070.7084,9399.4581,-4596.7291,0.9938,0.9765,0.9348,0.9542,0.9924,0.9965,0.9919,0.1999,"converged normally"
"data24",124.712,49,103,0,0.0176,0.0032,0.9991,0.9996,14346.4705,13675.2202,-6734.6101,0.9932,0.9741,0.9298,0.9519,0.992,0.9961,0.9917,0.1869,"converged normally"
"data25",114.2543,49,103,0,0.0163,0.0032,0.9993,0.9997,8127.6515,7456.4012,-3625.2006,0.9939,0.9776,0.9334,0.9558,0.9927,0.9966,0.9928,0.1821,"converged normally"
"data26",100.6587,49,103,0,0.0145,0.0025,0.9994,0.9998,15224.3346,14553.0843,-7173.5421,0.9929,0.9749,0.93,0.9491,0.9917,0.9961,0.9912,0.2193,"converged normally"
"data27",100.3879,49,103,0,0.0145,0.0019,0.9994,0.9998,6074.7983,5403.548,-2598.774,0.9942,0.9788,0.9338,0.9579,0.993,0.9968,0.9928,0.1929,"converged normally"
"data28",107.0385,49,103,0,0.0154,0.002,0.9993,0.9997,18747.4535,18076.2032,-8935.1016,0.9925,0.9727,0.9292,0.9482,0.9911,0.9957,0.9906,0.1866,"converged normally"
"data29",104.6423,49,103,0,0.0151,0.0017,0.9994,0.9997,5747.2661,5076.0158,-2435.0079,0.9942,0.9791,0.9353,0.9577,0.9928,0.9968,0.9925,0.1944,"converged normally"
"data3",100.6925,49,103,0,0.0145,0.0025,0.9994,0.9998,10288.5855,9617.3352,-4705.6676,0.9935,0.9774,0.9339,0.9545,0.9921,0.9964,0.9923,0.1819,"converged normally"
"data30",114.3338,49,103,0,0.0163,0.0038,0.9993,0.9997,5908.6827,5237.4324,-2515.7162,0.9942,0.9789,0.9359,0.9581,0.9929,0.9968,0.9928,0.1652,"converged normally"
"data31",136.0121,49,103,0,0.0188,0.0017,0.999,0.9996,11743.1154,11071.8651,-5432.9326,0.9935,0.9772,0.9323,0.9514,0.9922,0.9964,0.9919,0.1811,"converged normally"
"data32",138.8881,49,103,0,0.0192,0.0043,0.999,0.9996,4786.4905,4115.2402,-1954.6201,0.9942,0.9792,0.9336,0.9573,0.9931,0.9969,0.9928,0.1845,"converged normally"
"data33",90.6603,49,103,3e-04,0.013,0.0041,0.9995,0.9998,2017.288,1346.0377,-570.0189,0.9946,0.9794,0.9403,0.9616,0.9933,0.9969,0.9933,0.1893,"converged normally"
"data34",93.721,49,103,1e-04,0.0135,0.0023,0.9995,0.9998,12843.2678,12172.0175,-5983.0087,0.9935,0.9765,0.9289,0.9522,0.992,0.9963,0.9919,0.1771,"converged normally"
"data35",94.3766,49,103,1e-04,0.0136,0.0051,0.9995,0.9998,6100.4835,5429.2332,-2611.6166,0.994,0.9788,0.936,0.9578,0.9928,0.9967,0.9926,0.1772,"converged normally"
"data36",127.392,49,103,0,0.0179,0.0037,0.9991,0.9996,7397.4915,6726.2412,-3260.1206,0.9943,0.9776,0.9364,0.9552,0.9927,0.9965,0.9925,0.1968,"converged normally"
"data37",143.8042,49,103,0,0.0197,0.0023,0.9989,0.9995,19490.3961,18819.1458,-9306.5729,0.9928,0.9726,0.925,0.9441,0.9908,0.9958,0.9909,0.1696,"converged normally"
"data38",156.5309,49,103,0,0.021,0.0043,0.9988,0.9995,6139.5667,5468.3164,-2631.1582,0.9941,0.9784,0.9357,0.958,0.9931,0.9967,0.9926,0.1786,"converged normally"
"data39",128.8087,49,103,0,0.0181,0.0038,0.9991,0.9996,18956.842,18285.5917,-9039.7959,0.9927,0.9726,0.9264,0.9479,0.9908,0.9959,0.991,0.1917,"converged normally"
"data4",138.1706,49,103,0,0.0191,0.0069,0.999,0.9996,5452.2825,4781.0322,-2287.5161,0.9943,0.9788,0.9339,0.959,0.993,0.9968,0.9929,0.1993,"converged normally"
"data40",142.0076,49,103,0,0.0195,0.0029,0.9989,0.9996,16364.9136,15693.6633,-7743.8316,0.9931,0.9739,0.931,0.9489,0.9917,0.9961,0.9912,0.1859,"converged normally"
"data41",107.7513,49,103,0,0.0155,0.0038,0.9994,0.9997,1400.2813,729.031,-261.5155,0.9947,0.9802,0.9375,0.9619,0.9936,0.997,0.9933,0.1816,"converged normally"
"data42",152.7648,49,103,0,0.0206,0.0038,0.9989,0.9995,-318.0509,-989.3012,597.6506,0.9947,0.9807,0.9403,0.963,0.9938,0.997,0.9934,0.1854,"converged normally"
"data43",113.5414,49,103,0,0.0162,0.0047,0.9993,0.9997,14275.8966,13604.6463,-6699.3232,0.9932,0.9754,0.9263,0.9517,0.992,0.9961,0.9915,0.2046,"converged normally"
"data44",120.8028,49,103,0,0.0171,0.0064,0.9992,0.9997,7177.139,6505.8887,-3149.9444,0.9941,0.9777,0.9347,0.9558,0.9928,0.9969,0.9925,0.1937,"converged normally"
"data45",146.858,49,103,0,0.02,0.0022,0.9989,0.9996,8587.2219,7915.9716,-3854.9858,0.9938,0.9784,0.9349,0.9543,0.9924,0.9966,0.9919,0.1998,"converged normally"
"data46",91.7488,49,103,2e-04,0.0132,0.0045,0.9995,0.9998,11105.6574,10434.4071,-5114.2035,0.9935,0.9767,0.9303,0.9527,0.9924,0.9963,0.992,0.194,"converged normally"
"data47",119.3991,49,103,0,0.017,0.0034,0.9992,0.9997,7462.0201,6790.7698,-3292.3849,0.9938,0.9778,0.9347,0.9572,0.993,0.9968,0.9925,0.1776,"converged normally"
"data48",88.8792,49,103,4e-04,0.0128,0.0082,0.9996,0.9998,5415.3195,4744.0692,-2269.0346,0.9942,0.9782,0.9374,0.9586,0.9931,0.9968,0.9929,0.181,"converged normally"
"data49",136.7394,49,103,0,0.0189,0.0051,0.999,0.9996,9792.8357,9121.5854,-4457.7927,0.9936,0.9774,0.9308,0.955,0.9924,0.9965,0.9923,0.1665,"converged normally"
"data5",131.8945,49,103,0,0.0184,0.0023,0.999,0.9996,19211.9212,18540.6709,-9167.3355,0.9925,0.9725,0.9283,0.9447,0.9911,0.9959,0.9903,0.1925,"converged normally"
"data50",121.2623,49,103,0,0.0172,0.0039,0.9992,0.9997,16739.8114,16068.5611,-7931.2806,0.993,0.9738,0.9262,0.9513,0.9913,0.9962,0.9912,0.1821,"converged normally"
"data51",137.9363,49,103,0,0.0191,0.0048,0.999,0.9996,4789.4976,4118.2474,-1956.1237,0.9943,0.9789,0.9377,0.9577,0.9932,0.9969,0.993,0.1599,"converged normally"
"data52",110.7893,49,103,0,0.0159,0.0013,0.9993,0.9997,14772.3089,14101.0586,-6947.5293,0.9932,0.9762,0.928,0.9511,0.9919,0.9962,0.9914,0.1846,"converged normally"
"data53",135.1474,49,103,0,0.0188,0.0037,0.999,0.9996,8812.0582,8140.8079,-3967.4039,0.9941,0.978,0.9328,0.9532,0.9925,0.9966,0.9921,0.1882,"converged normally"
"data54",80.5334,49,103,0.003,0.0113,0.0029,0.9996,0.9998,19702.9268,19031.6765,-9412.8383,0.9925,0.9731,0.9254,0.9451,0.991,0.9957,0.9903,0.1871,"converged normally"
"data55",105.7722,49,103,0,0.0152,0.0011,0.9994,0.9997,3734.8226,3063.5723,-1428.7861,0.9944,0.979,0.9372,0.9589,0.9933,0.9969,0.9933,0.1894,"converged normally"
"data56",94.153,49,103,1e-04,0.0136,0.0031,0.9995,0.9998,1838.109,1166.8587,-480.4293,0.9945,0.9802,0.9378,0.9597,0.9933,0.997,0.9936,0.1916,"converged normally"
"data57",139.0391,49,103,0,0.0192,0.0026,0.9989,0.9996,21222.0072,20550.7569,-10172.3785,0.9923,0.9725,0.9249,0.9438,0.9904,0.9957,0.9907,0.1855,"converged normally"
"data58",128.7036,49,103,0,0.018,0.0078,0.9991,0.9996,6603.9493,5932.699,-2863.3495,0.9941,0.9794,0.9343,0.9571,0.9927,0.9967,0.9927,0.1894,"converged normally"
"data59",102.9069,49,103,0,0.0148,0.0043,0.9994,0.9998,4283.6177,3612.3674,-1703.1837,0.9945,0.9788,0.937,0.9588,0.9932,0.9969,0.993,0.165,"converged normally"
"data6",91.4735,49,103,2e-04,0.0132,0.0016,0.9995,0.9998,11429.4601,10758.2098,-5276.1049,0.9934,0.9767,0.9326,0.9528,0.9923,0.9962,0.9918,0.1756,"converged normally"
"data60",101.4018,49,103,0,0.0146,0.0091,0.9994,0.9998,10550.8552,9879.6049,-4836.8024,0.9935,0.9767,0.9339,0.9547,0.9921,0.9963,0.9922,0.1773,"converged normally"
"data7",113.4737,49,103,0,0.0162,0.0039,0.9993,0.9997,6299.8909,5628.6406,-2711.3203,0.9942,0.9786,0.9359,0.9591,0.9931,0.9966,0.9927,0.1759,"converged normally"
"data8",112.2654,49,103,0,0.0161,0.0032,0.9993,0.9997,5136.9393,4465.689,-2129.8445,0.9941,0.9798,0.9344,0.9597,0.993,0.9968,0.993,0.1572,"converged normally"
"data9",93.8638,49,103,1e-04,0.0135,0.0027,0.9995,0.9998,-852.7478,-1523.9981,864.999,0.9949,0.9808,0.9404,0.9627,0.9938,0.9971,0.9937,0.1748,"converged normally"
