"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data2",134.1792,49,103,0,0.0186,0.005,0.9991,0.9996,4393.3713,3722.121,-1758.0605,0.9946,0.9799,0.9387,0.9593,0.9934,0.9969,0.9932,0.2119,"converged normally"
"data20",127.0143,49,103,0,0.0178,0.0024,0.9991,0.9996,1271.7434,600.4931,-197.2466,0.9934,0.9761,0.9304,0.9534,0.992,0.9961,0.9919,0.2017,"converged normally"
"data21",114.7254,49,103,0,0.0164,0.0074,0.9993,0.9997,2722.2895,2051.0392,-922.5196,0.9933,0.9761,0.9312,0.9546,0.9922,0.9963,0.9919,0.1695,"converged normally"
"data22",156.4335,49,103,0,0.0209,0.0065,0.9988,0.9995,3768.8312,3097.5809,-1445.7904,0.9939,0.9781,0.9345,0.9544,0.9927,0.9967,0.9925,0.1745,"converged normally"
"data23",168.1919,49,103,0,0.0221,0.0045,0.9987,0.9995,1551.4205,880.1702,-337.0851,0.9938,0.9765,0.9348,0.9542,0.9924,0.9965,0.9919,0.1999,"converged normally"
"data24",124.712,49,103,0,0.0176,0.0032,0.9991,0.9996,1292.1948,620.9445,-207.4723,0.9932,0.9741,0.9298,0.9519,0.992,0.9961,0.9917,0.1869,"converged normally"
"data25",114.2543,49,103,0,0.0163,0.0032,0.9993,0.9997,2484.16,1812.9097,-803.4548,0.9939,0.9776,0.9334,0.9558,0.9927,0.9966,0.9928,0.1821,"converged normally"
"data26",100.6587,49,103,0,0.0145,0.0025,0.9994,0.9998,1414.186,742.9357,-268.4678,0.9929,0.9749,0.93,0.9491,0.9917,0.9961,0.9912,0.2193,"converged normally"
"data27",100.3879,49,103,0,0.0145,0.0019,0.9994,0.9998,3050.9824,2379.7321,-1086.866,0.9942,0.9788,0.9338,0.9579,0.993,0.9968,0.9928,0.1929,"converged normally"
"data28",107.0385,49,103,0,0.0154,0.002,0.9993,0.9997,712.2569,41.0066,82.4967,0.9925,0.9727,0.9292,0.9482,0.9911,0.9957,0.9906,0.1866,"converged normally"
"data29",104.6423,49,103,0,0.0151,0.0017,0.9994,0.9997,2684.7226,2013.4723,-903.7362,0.9942,0.9791,0.9353,0.9577,0.9928,0.9968,0.9925,0.1944,"converged normally"
"data3",100.6925,49,103,0,0.0145,0.0025,0.9994,0.9998,2161.8982,1490.6479,-642.3239,0.9935,0.9774,0.9339,0.9545,0.9921,0.9964,0.9923,0.1819,"converged normally"
"data30",114.3338,49,103,0,0.0163,0.0038,0.9993,0.9997,3267.1758,2595.9255,-1194.9627,0.9942,0.9789,0.9359,0.9581,0.9929,0.9968,0.9928,0.1652,"converged normally"
"data31",136.0121,49,103,0,0.0188,0.0017,0.999,0.9996,2022.7127,1351.4624,-572.7312,0.9935,0.9772,0.9323,0.9514,0.9922,0.9964,0.9919,0.1811,"converged normally"
"data32",138.8881,49,103,0,0.0192,0.0043,0.999,0.9996,2815.6447,2144.3944,-969.1972,0.9942,0.9792,0.9336,0.9573,0.9931,0.9969,0.9928,0.1845,"converged normally"
"data33",90.6603,49,103,3e-04,0.013,0.0041,0.9995,0.9998,3543.1732,2871.9229,-1332.9614,0.9946,0.9794,0.9403,0.9616,0.9933,0.9969,0.9933,0.1893,"converged normally"
"data34",93.721,49,103,1e-04,0.0135,0.0023,0.9995,0.9998,2586.8146,1915.5643,-854.7821,0.9935,0.9765,0.9289,0.9522,0.992,0.9963,0.9919,0.1771,"converged normally"
"data35",94.3766,49,103,1e-04,0.0136,0.0051,0.9995,0.9998,1623.7986,952.5483,-373.2741,0.994,0.9788,0.936,0.9578,0.9928,0.9967,0.9926,0.1772,"converged normally"
"data36",127.392,49,103,0,0.0179,0.0037,0.9991,0.9996,2700.4901,2029.2398,-911.6199,0.9943,0.9776,0.9364,0.9552,0.9927,0.9965,0.9925,0.1968,"converged normally"
"data37",143.8042,49,103,0,0.0197,0.0023,0.9989,0.9995,184.0712,-487.1791,346.5895,0.9928,0.9726,0.925,0.9441,0.9908,0.9958,0.9909,0.1696,"converged normally"
"data38",156.5309,49,103,0,0.021,0.0043,0.9988,0.9995,2516.1122,1844.8619,-819.4309,0.9941,0.9784,0.9357,0.958,0.9931,0.9967,0.9926,0.1786,"converged normally"
"data39",128.8087,49,103,0,0.0181,0.0038,0.9991,0.9996,892.2562,221.0059,-7.5029,0.9927,0.9726,0.9264,0.9479,0.9908,0.9959,0.991,0.1917,"converged normally"
"data4",138.1706,49,103,0,0.0191,0.0069,0.999,0.9996,4314.3226,3643.0723,-1718.5362,0.9943,0.9788,0.9339,0.959,0.993,0.9968,0.9929,0.1993,"converged normally"
"data40",142.0076,49,103,0,0.0195,0.0029,0.9989,0.9996,2405.3851,1734.1348,-764.0674,0.9931,0.9739,0.931,0.9489,0.9917,0.9961,0.9912,0.1859,"converged normally"
"data41",107.7513,49,103,0,0.0155,0.0038,0.9994,0.9997,3111.3727,2440.1224,-1117.0612,0.9947,0.9802,0.9375,0.9619,0.9936,0.997,0.9933,0.1816,"converged normally"
"data42",152.7648,49,103,0,0.0206,0.0038,0.9989,0.9995,4012.0058,3340.7555,-1567.3777,0.9947,0.9807,0.9403,0.963,0.9938,0.997,0.9934,0.1854,"converged normally"
"data43",113.5414,49,103,0,0.0162,0.0047,0.9993,0.9997,601.4618,-69.7885,137.8943,0.9932,0.9754,0.9263,0.9517,0.992,0.9961,0.9915,0.2046,"converged normally"
"data44",120.8028,49,103,0,0.0171,0.0064,0.9992,0.9997,3550.2577,2879.0074,-1336.5037,0.9941,0.9777,0.9347,0.9558,0.9928,0.9969,0.9925,0.1937,"converged normally"
"data45",146.858,49,103,0,0.02,0.0022,0.9989,0.9996,1180.6105,509.3602,-151.6801,0.9938,0.9784,0.9349,0.9543,0.9924,0.9966,0.9919,0.1998,"converged normally"
"data46",91.7488,49,103,2e-04,0.0132,0.0045,0.9995,0.9998,1462.4865,791.2362,-292.6181,0.9935,0.9767,0.9303,0.9527,0.9924,0.9963,0.992,0.194,"converged normally"
"data47",119.3991,49,103,0,0.017,0.0034,0.9992,0.9997,4044.4719,3373.2216,-1583.6108,0.9938,0.9778,0.9347,0.9572,0.993,0.9968,0.9925,0.1776,"converged normally"
"data48",88.8792,49,103,4e-04,0.0128,0.0082,0.9996,0.9998,3517.1481,2845.8978,-1319.9489,0.9942,0.9782,0.9374,0.9586,0.9931,0.9968,0.9929,0.181,"converged normally"
"data49",136.7394,49,103,0,0.0189,0.0051,0.999,0.9996,2149.4092,1478.1589,-636.0794,0.9936,0.9774,0.9308,0.955,0.9924,0.9965,0.9923,0.1665,"converged normally"
"data5",131.8945,49,103,0,0.0184,0.0023,0.999,0.9996,-1214.0401,-1885.2904,1045.6452,0.9925,0.9725,0.9283,0.9447,0.9911,0.9959,0.9903,0.1925,"converged normally"
"data50",121.2623,49,103,0,0.0172,0.0039,0.9992,0.9997,1515.2763,844.026,-319.013,0.993,0.9738,0.9262,0.9513,0.9913,0.9962,0.9912,0.1821,"converged normally"
"data51",137.9363,49,103,0,0.0191,0.0048,0.999,0.9996,2712.2446,2040.9943,-917.4971,0.9943,0.9789,0.9377,0.9577,0.9932,0.9969,0.993,0.1599,"converged normally"
"data52",110.7893,49,103,0,0.0159,0.0013,0.9993,0.9997,2092.4331,1421.1828,-607.5914,0.9932,0.9762,0.928,0.9511,0.9919,0.9962,0.9914,0.1846,"converged normally"
"data53",135.1474,49,103,0,0.0188,0.0037,0.999,0.9996,1827.9133,1156.663,-475.3315,0.9941,0.978,0.9328,0.9532,0.9925,0.9966,0.9921,0.1882,"converged normally"
"data54",80.5334,49,103,0.003,0.0113,0.0029,0.9996,0.9998,322.701,-348.5493,277.2746,0.9925,0.9731,0.9254,0.9451,0.991,0.9957,0.9903,0.1871,"converged normally"
"data55",105.7722,49,103,0,0.0152,0.0011,0.9994,0.9997,4125.3745,3454.1242,-1624.0621,0.9944,0.979,0.9372,0.9589,0.9933,0.9969,0.9933,0.1894,"converged normally"
"data56",94.153,49,103,1e-04,0.0136,0.0031,0.9995,0.9998,3535.1278,2863.8775,-1328.9387,0.9945,0.9802,0.9378,0.9597,0.9933,0.997,0.9936,0.1916,"converged normally"
"data57",139.0391,49,103,0,0.0192,0.0026,0.9989,0.9996,342.2393,-329.011,267.5055,0.9923,0.9725,0.9249,0.9438,0.9904,0.9957,0.9907,0.1855,"converged normally"
"data58",128.7036,49,103,0,0.018,0.0078,0.9991,0.9996,3853.5962,3182.3459,-1488.173,0.9941,0.9794,0.9343,0.9571,0.9927,0.9967,0.9927,0.1894,"converged normally"
"data59",102.9069,49,103,0,0.0148,0.0043,0.9994,0.9998,3036.8583,2365.608,-1079.804,0.9945,0.9788,0.937,0.9588,0.9932,0.9969,0.993,0.165,"converged normally"
"data6",91.4735,49,103,2e-04,0.0132,0.0016,0.9995,0.9998,1104.5746,433.3243,-113.6622,0.9934,0.9767,0.9326,0.9528,0.9923,0.9962,0.9918,0.1756,"converged normally"
"data60",101.4018,49,103,0,0.0146,0.0091,0.9994,0.9998,1556.7244,885.4741,-339.7371,0.9935,0.9767,0.9339,0.9547,0.9921,0.9963,0.9922,0.1773,"converged normally"
"data7",113.4737,49,103,0,0.0162,0.0039,0.9993,0.9997,3700.1949,3028.9446,-1411.4723,0.9942,0.9786,0.9359,0.9591,0.9931,0.9966,0.9927,0.1759,"converged normally"
"data8",112.2654,49,103,0,0.0161,0.0032,0.9993,0.9997,3534.336,2863.0857,-1328.5429,0.9941,0.9798,0.9344,0.9597,0.993,0.9968,0.993,0.1572,"converged normally"
"data9",93.8638,49,103,1e-04,0.0135,0.0027,0.9995,0.9998,4945.8423,4274.592,-2034.296,0.9949,0.9808,0.9404,0.9627,0.9938,0.9971,0.9937,0.1748,"converged normally"
