"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","status"
"data2",51.5536,39,51,0.086,0.008,0.0046,0.9999,0.9999,-10556.0032,-10888.3699,5495.1849,0.9884,0.9738,0.9922,0.998,0.9915,0.4306,"converged normally"
"data20",38.0462,39,51,0.5132,0,0.0034,1,1,-11806.0854,-12138.4521,6120.226,0.9874,0.9711,0.9918,0.9978,0.9904,0.4098,"converged normally"
"data21",30.0047,39,51,0.849,0,0.0035,1.0001,1,-11515.7698,-11848.1365,5975.0682,0.9881,0.973,0.9919,0.9979,0.9912,0.4223,"converged normally"
"data22",51.0372,39,51,0.0939,0.0079,0.0046,0.9999,0.9999,-9938.1233,-10270.49,5186.245,0.9872,0.9739,0.9927,0.9981,0.9917,0.4325,"converged normally"
"data23",30.2802,39,51,0.8402,0,0.0033,1.0001,1,-10764.0851,-11096.4517,5599.2259,0.989,0.9741,0.9917,0.9978,0.9908,0.4273,"converged normally"
"data24",36.844,39,51,0.5686,0,0.0031,1,1,-8371.9022,-8704.2689,4403.1344,0.9882,0.9769,0.994,0.9985,0.9932,0.4282,"converged normally"
"data25",35.4136,39,51,0.6342,0,0.0026,1,1,-13876.2708,-14208.6375,7155.3188,0.9857,0.97,0.9914,0.9978,0.9905,0.4007,"converged normally"
"data26",48.7482,39,51,0.1362,0.0071,0.0052,0.9999,0.9999,-12705.4602,-13037.8269,6569.9134,0.9866,0.9695,0.991,0.9976,0.9904,0.413,"converged normally"
"data27",39.6063,39,51,0.4428,0.0018,0.005,1,1,-9615.8511,-9948.2178,5025.1089,0.9884,0.9747,0.9931,0.9982,0.9919,0.4342,"converged normally"
"data28",27.5724,39,51,0.9147,0,0.0023,1.0001,1,-12091.4723,-12423.8389,6262.9195,0.9871,0.9724,0.9917,0.9979,0.9909,0.4131,"converged normally"
"data29",31.0648,39,51,0.8135,0,0.0024,1.0001,1,-10047.8454,-10380.212,5241.106,0.9876,0.9734,0.9923,0.9981,0.9915,0.4451,"converged normally"
"data3",34.1091,39,51,0.6923,0,0.0016,1.0001,1,-10567.8774,-10900.2441,5501.122,0.9871,0.974,0.9933,0.9982,0.9918,0.4231,"converged normally"
"data30",39.7605,39,51,0.436,0.002,0.0041,1,1,-10706.4847,-11038.8514,5570.4257,0.9885,0.9746,0.9925,0.998,0.9916,0.4578,"converged normally"
"data31",45.2173,39,51,0.2283,0.0056,0.0035,0.9999,1,-8490.7735,-8823.1402,4462.5701,0.988,0.9747,0.993,0.9982,0.9925,0.4373,"converged normally"
"data32",41.5216,39,51,0.3614,0.0036,0.002,1,1,-11574.7771,-11907.1438,6004.5719,0.9864,0.9724,0.993,0.9982,0.992,0.4214,"converged normally"
"data33",38.6309,39,51,0.4866,0,0.0042,1,1,-10880.1193,-11212.4859,5657.243,0.9867,0.9719,0.9924,0.9981,0.9916,0.4492,"converged normally"
"data34",36.0378,39,51,0.6057,0,0.0039,1,1,-11097.335,-11429.7016,5765.8508,0.9864,0.9728,0.9925,0.9981,0.9915,0.4379,"converged normally"
"data35",38.4891,39,51,0.493,0,0.0032,1,1,-8717.0857,-9049.4523,4575.7262,0.9879,0.9736,0.9928,0.9982,0.9921,0.461,"converged normally"
"data36",33.7485,39,51,0.7079,0,0.0015,1.0001,1,-11178.7671,-11511.1338,5806.5669,0.9868,0.9736,0.9919,0.9978,0.9912,0.4358,"converged normally"
"data37",32.8621,39,51,0.7449,0,0.0023,1.0001,1,-8749.3452,-9081.7118,4591.8559,0.9887,0.9754,0.9927,0.9981,0.9918,0.4534,"converged normally"
"data38",31.5286,39,51,0.7968,0,0.0022,1.0001,1,-9695.3346,-10027.7013,5064.8507,0.9875,0.9744,0.9937,0.9984,0.9929,0.4424,"converged normally"
"data39",34.5996,39,51,0.6708,0,0.0025,1,1,-8810.185,-9142.5517,4622.2758,0.9885,0.975,0.9931,0.9983,0.9924,0.4529,"converged normally"
"data4",32.9845,39,51,0.7399,0,0.0021,1.0001,1,-10066.3343,-10398.7009,5250.3505,0.9885,0.9734,0.9926,0.998,0.9915,0.4359,"converged normally"
"data40",37.2072,39,51,0.5518,0,0.0017,1,1,-10547.5879,-10879.9546,5490.9773,0.988,0.9736,0.992,0.998,0.9913,0.4351,"converged normally"
"data41",56.624,39,51,0.0337,0.0095,0.0046,0.9998,0.9999,-10413.2635,-10745.6301,5423.8151,0.9886,0.9746,0.9917,0.9978,0.991,0.4345,"converged normally"
"data42",33.2156,39,51,0.7304,0,0.0035,1.0001,1,-12274.5289,-12606.8956,6354.4478,0.9883,0.9721,0.9906,0.9976,0.9905,0.4285,"converged normally"
"data43",45.1163,39,51,0.2315,0.0056,0.0035,0.9999,1,-11488.4112,-11820.7778,5961.3889,0.9884,0.9735,0.9905,0.9977,0.9903,0.4175,"converged normally"
"data44",42.229,39,51,0.3332,0.0041,0.0051,1,1,-10016.5458,-10348.9125,5225.4562,0.9864,0.9738,0.9935,0.9983,0.9926,0.4484,"converged normally"
"data45",35.674,39,51,0.6224,0,0.0021,1,1,-11358.3206,-11690.6873,5896.3436,0.9873,0.973,0.9923,0.998,0.9913,0.4218,"converged normally"
"data46",30.9011,39,51,0.8193,0,0.0018,1.0001,1,-9283.5789,-9615.9456,4858.9728,0.9884,0.9749,0.9925,0.9981,0.9918,0.424,"converged normally"
"data47",24.085,39,51,0.9708,0,6e-04,1.0002,1,-8381.0252,-8713.3918,4407.6959,0.9877,0.9753,0.9938,0.9984,0.9934,0.4274,"converged normally"
"data48",40.9998,39,51,0.3829,0.0032,0.0016,1,1,-11408.0085,-11740.3751,5921.1876,0.9875,0.9735,0.9922,0.998,0.9911,0.4248,"converged normally"
"data49",35.3259,39,51,0.6382,0,0.0045,1,1,-10390.8639,-10723.2305,5412.6153,0.987,0.9728,0.9925,0.9982,0.9915,0.4323,"converged normally"
"data5",40.4396,39,51,0.4066,0.0027,0.0028,1,1,-12868.6734,-13201.04,6651.52,0.9883,0.9719,0.9907,0.9976,0.9899,0.4406,"converged normally"
"data50",49.7346,39,51,0.1164,0.0074,0.0031,0.9999,0.9999,-10121.6672,-10454.0339,5278.0169,0.9886,0.9754,0.992,0.9979,0.9914,0.427,"converged normally"
"data51",27.082,39,51,0.9251,0,0.002,1.0001,1,-11131.4533,-11463.82,5782.91,0.9864,0.9723,0.9929,0.9983,0.9921,0.4309,"converged normally"
"data52",51.1508,39,51,0.0921,0.0079,0.004,0.9999,0.9999,-11706.5079,-12038.8746,6070.4373,0.9875,0.9728,0.992,0.9979,0.9912,0.4472,"converged normally"
"data53",44.2136,39,51,0.2609,0.0052,0.002,0.9999,1,-10420.4976,-10752.8642,5427.4321,0.9863,0.9734,0.9933,0.9983,0.9928,0.4264,"converged normally"
"data54",41.808,39,51,0.3498,0.0038,0.0034,1,1,-8664.6059,-8996.9725,4549.4863,0.9878,0.9749,0.9932,0.9982,0.9926,0.4209,"converged normally"
"data55",35.7046,39,51,0.621,0,0.0067,1,1,-9135.0995,-9467.4662,4784.7331,0.9875,0.975,0.9936,0.9983,0.9927,0.4293,"converged normally"
"data56",41.5808,39,51,0.359,0.0036,0.0015,1,1,-10215.4439,-10547.8105,5324.9053,0.9883,0.9731,0.9918,0.9978,0.9907,0.4461,"converged normally"
"data57",41.7109,39,51,0.3537,0.0037,0.0041,1,1,-11175.3832,-11507.7498,5804.8749,0.9881,0.9738,0.9925,0.998,0.9914,0.4303,"converged normally"
"data58",58.068,39,51,0.0253,0.0099,0.0018,0.9998,0.9999,-11319.2199,-11651.5865,5876.7933,0.988,0.9735,0.9917,0.9979,0.9913,0.4312,"converged normally"
"data59",28.8073,39,51,0.8842,0,0.0036,1.0001,1,-12211.9148,-12544.2814,6323.1407,0.9875,0.9726,0.9915,0.9977,0.9905,0.4389,"converged normally"
"data6",36.0403,39,51,0.6056,0,0.0024,1,1,-7702.3816,-8034.7482,4068.3741,0.9881,0.9757,0.9941,0.9984,0.9932,0.429,"converged normally"
"data60",30.4521,39,51,0.8345,0,0.0025,1.0001,1,-11868.6399,-12201.0066,6151.5033,0.9874,0.9726,0.9917,0.9979,0.991,0.4243,"converged normally"
"data7",46.9763,39,51,0.1782,0.0064,0.0033,0.9999,0.9999,-10692.9144,-11025.2811,5563.6405,0.9877,0.9733,0.9918,0.9979,0.9907,0.4152,"converged normally"
"data8",41.2623,39,51,0.372,0.0034,0.0028,1,1,-8969.85,-9302.2167,4702.1083,0.9877,0.9746,0.9934,0.9984,0.9927,0.4068,"converged normally"
"data9",41.4909,39,51,0.3626,0.0036,0.0039,1,1,-9170.6313,-9502.998,4802.499,0.9867,0.9742,0.9937,0.9983,0.9927,0.4271,"converged normally"
