"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","status"
"data5",31.1638,11,54,0.001,0.0191,8e-04,0.9996,0.9999,-51696.3997,-52048.3173,26078.1587,0.9572,0.9968,0.999,0.9989,0.9355,"converged normally"
"data50",23.8856,11,54,0.0132,0.0153,6e-04,0.9997,0.9999,-54633.8166,-54985.7342,27546.8671,0.9599,0.9971,0.9991,0.999,0.942,"converged normally"
"data51",17.845,11,54,0.0852,0.0112,8e-04,0.9998,1,-42052.1753,-42404.0929,21256.0465,0.9589,0.9959,0.9987,0.9986,0.9161,"converged normally"
"data52",6.353,11,54,0.8488,0,8e-04,1.0001,1,-56372.4925,-56724.4101,28416.2051,0.9616,0.9972,0.9991,0.9991,0.9438,"converged normally"
"data53",9.5406,11,54,0.5721,0,9e-04,1,1,-56266.5283,-56618.446,28363.223,0.9581,0.9973,0.9991,0.9991,0.943,"converged normally"
"data54",31.2238,11,54,0.001,0.0192,0.0012,0.9996,0.9999,-55014.0641,-55365.9817,27736.9909,0.9579,0.9971,0.9991,0.999,0.9416,"converged normally"
"data55",21.7558,11,54,0.0263,0.014,0.0016,0.9998,0.9999,-56821.3906,-57173.3082,28640.6541,0.9607,0.9973,0.9991,0.9991,0.9434,"converged normally"
"data56",7.3792,11,54,0.7676,0,0.0011,1.0001,1,-63282.9228,-63634.8404,31871.4202,0.9611,0.9976,0.9993,0.9992,0.9511,"converged normally"
"data57",17.252,11,54,0.1006,0.0107,0.0015,0.9999,1,-49410.035,-49761.9527,24934.9763,0.958,0.9967,0.9989,0.9988,0.9324,"converged normally"
"data58",28.8856,11,54,0.0024,0.018,0.0014,0.9996,0.9999,-54668.0613,-55019.9789,27563.9895,0.9573,0.9971,0.9991,0.999,0.9398,"converged normally"
"data59",17.4565,11,54,0.0951,0.0108,4e-04,0.9999,1,-53750.2002,-54102.1178,27105.0589,0.9596,0.9971,0.9991,0.999,0.9385,"converged normally"
"data6",18.956,11,54,0.0619,0.012,0.0016,0.9998,1,-54336.1722,-54688.0898,27398.0449,0.9589,0.997,0.9991,0.999,0.9408,"converged normally"
"data60",27.0728,11,54,0.0045,0.0171,0.0015,0.9997,0.9999,-54221.3792,-54573.2968,27340.6484,0.9576,0.9969,0.9991,0.999,0.9393,"converged normally"
"data7",34.9072,11,54,3e-04,0.0209,0.0014,0.9995,0.9999,-59698.535,-60050.4527,30079.2263,0.9617,0.9975,0.9992,0.9992,0.9488,"converged normally"
"data8",25.3304,11,54,0.0082,0.0161,7e-04,0.9997,0.9999,-53857.0698,-54208.9874,27158.4937,0.9579,0.9971,0.9991,0.999,0.9379,"converged normally"
"data9",27.7889,11,54,0.0035,0.0175,9e-04,0.9997,0.9999,-54313.425,-54665.3427,27386.6713,0.9576,0.997,0.9991,0.999,0.9395,"converged normally"
