"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","X10_r2","status"
"data47",159.9512,60,170,0,0.0183,0.0037,0.9985,0.9995,76798.0717,75690.1828,-37675.0914,0.9787,0.9621,0.9389,0.9548,0.9966,0.1674,0.856,0.8284,0.946,0.1185,"converged normally"
"data48",187.6475,60,170,0,0.0206,0.0051,0.9981,0.9994,71386.8157,70278.9269,-34969.4634,0.9808,0.9668,0.9419,0.9598,0.9968,0.1755,0.8629,0.8444,0.9521,0.1024,"converged normally"
"data49",224.9283,60,170,0,0.0234,0.0051,0.9975,0.9992,75707.2452,74599.3564,-37129.6782,0.9795,0.9635,0.9404,0.9542,0.9965,0.1775,0.8572,0.8321,0.9487,0.1053,"converged normally"
"data5",190.2101,60,170,0,0.0208,0.0044,0.9981,0.9994,69028.18,67920.2911,-33790.1456,0.9813,0.9677,0.9449,0.9641,0.9969,0.1606,0.8657,0.8488,0.9534,0.1037,"converged normally"
"data50",220.819,60,170,0,0.0232,0.0054,0.9976,0.9992,73531.4045,72423.5156,-36041.7578,0.98,0.9649,0.941,0.9601,0.9966,0.1692,0.8588,0.8403,0.9496,0.0881,"converged normally"
"data51",218.416,60,170,0,0.023,0.005,0.9976,0.9992,80269.9603,79162.0715,-39411.0357,0.977,0.9621,0.9334,0.9531,0.9964,0.1733,0.8422,0.827,0.9471,0.1124,"converged normally"
"data52",222.8346,60,170,0,0.0233,0.0046,0.9977,0.9993,56368.6732,55260.7844,-27460.3922,0.9843,0.9735,0.9556,0.9666,0.9974,0.1758,0.8888,0.8709,0.96,0.0925,"converged normally"
"data53",178.5778,60,170,0,0.0199,0.0049,0.9983,0.9995,64289.3311,63181.4423,-31420.7211,0.9816,0.9697,0.9491,0.963,0.9972,0.184,0.8809,0.8546,0.956,0.1035,"converged normally"
"data54",213.5611,60,170,0,0.0226,0.0031,0.9977,0.9993,71620.7964,70512.9076,-35086.4538,0.9801,0.9652,0.9432,0.9574,0.9967,0.1573,0.8645,0.8419,0.9524,0.1064,"converged normally"
"data55",276.74,60,170,0,0.0269,0.0054,0.9967,0.999,76299.6218,75191.733,-37425.8665,0.9784,0.9643,0.9383,0.9575,0.9965,0.15,0.8525,0.8322,0.9491,0.1036,"converged normally"
"data56",205.7422,60,170,0,0.022,0.004,0.9979,0.9993,69133.1726,68025.2837,-33842.6419,0.9815,0.9668,0.9451,0.9626,0.9969,0.1788,0.8716,0.84,0.9526,0.1047,"converged normally"
"data57",220.6329,60,170,0,0.0231,0.0075,0.9977,0.9993,63426.0287,62318.1399,-30989.07,0.9831,0.9683,0.9508,0.9664,0.9972,0.1738,0.8797,0.8574,0.9562,0.097,"converged normally"
"data58",213.5088,60,170,0,0.0226,0.0039,0.9978,0.9993,63613.2999,62505.4111,-31082.7055,0.9825,0.9694,0.9503,0.9642,0.9972,0.1774,0.8777,0.8553,0.9567,0.0993,"converged normally"
"data59",198.4011,60,170,0,0.0215,0.0053,0.9979,0.9994,71998.8355,70890.9467,-35275.4734,0.9806,0.9655,0.9407,0.9595,0.9969,0.1762,0.8627,0.8354,0.9518,0.0935,"converged normally"
"data6",198.4303,60,170,0,0.0215,0.0036,0.998,0.9994,68281.0468,67173.158,-33416.579,0.9822,0.9682,0.9455,0.9616,0.9971,0.1656,0.8655,0.8491,0.9544,0.0991,"converged normally"
"data60",195.6495,60,170,0,0.0213,0.0025,0.9979,0.9993,78052.5993,76944.7105,-38302.3552,0.9788,0.9607,0.9357,0.9573,0.9965,0.1709,0.8466,0.8288,0.9487,0.0899,"converged normally"
"data7",225.9761,60,170,0,0.0235,0.0043,0.9976,0.9992,68050.0769,66942.188,-33301.094,0.9821,0.9674,0.9456,0.9636,0.9969,0.1723,0.8747,0.8482,0.9537,0.0945,"converged normally"
"data8",230.2312,60,170,0,0.0238,0.0038,0.9975,0.9992,69429.6622,68321.7733,-33990.8867,0.9808,0.9669,0.9457,0.9601,0.9969,0.156,0.8682,0.8432,0.9516,0.1061,"converged normally"
"data9",155.2966,60,170,0,0.0178,0.0061,0.9986,0.9996,70171.3278,69063.4389,-34361.7195,0.9809,0.9669,0.9414,0.9625,0.9969,0.1813,0.8661,0.8383,0.9529,0.0931,"converged normally"
