X1	X2	X3	X4	X5	X6	X7
-0.439238	0.299014	-0.456497	0.250580	-0.147775	-0.152457	-0.185800
-0.635032	0.255027	-0.699125	-0.053914	-0.272367	0.095846	-0.411314
-0.793104	0.077918	-0.885990	-0.453050	-0.369595	0.356525	-0.616463
-0.902902	-0.210608	-0.972633	-0.887162	-0.446271	0.582674	-0.777767
-0.964328	-0.561874	-0.936974	-1.288588	-0.510058	0.735637	-0.882269
-0.983746	-0.909292	-0.781862	-1.592411	-0.565932	0.793676	-0.926722
-0.968315	-1.181292	-0.532181	-1.746839	-0.613713	0.756884	-0.914955
-0.921032	-1.315623	-0.227747	-1.721515	-0.647594	0.646955	-0.854509
-0.837835	-1.271892	0.086129	-1.512611	-0.657690	0.501684	-0.754206
-0.708148	-1.040009	0.368046	-1.143891	-0.633468	0.365348	-0.622908
-0.518497	-0.642535	0.588249	-0.663435	-0.567981	0.277080	-0.469884
-0.258751	-0.130735	0.732907	-0.136694	-0.461680	0.260086	-0.306256
0.071783	0.425099	0.804937	0.363460	-0.324538	0.314366	-0.146180
0.459507	0.948754	0.821158	0.767906	-0.175532	0.415168	-0.007169
0.875417	1.372261	0.807189	1.022227	-0.039437	0.517659	0.091668
1.278176	1.647847	0.791174	1.095454	0.058849	0.567384	0.133282
1.620970	1.755622	0.797676	0.985298	0.100935	0.514330	0.107793
1.861199	1.705402	0.843008	0.719016	0.081035	0.327267	0.017659
1.970056	1.532532	0.932362	0.349229	0.009785	0.005173	-0.118698
1.939937	1.288913	1.059351	-0.054348	-0.085440	-0.417420	-0.266346
1.787562	1.031238	1.207226	-0.416279	-0.164389	-0.872951	-0.377386
1.551445	0.809116	1.351676	-0.667955	-0.181385	-1.271304	-0.398503
1.284170	0.655684	1.464696	-0.759242	-0.095030	-1.516581	-0.281520
1.041217	0.582516	1.518552	-0.667165	0.121759	-1.527077	0.005073
0.868334	0.579760	1.489786	-0.400054	0.473697	-1.254102	0.466296
0.791180	0.621074	1.362866	0.003819	0.939162	-0.695858	1.074890
0.809113	0.671952	1.132875	0.482735	1.471184	0.097216	1.771597
0.895282	0.699226	0.807349	0.962343	2.003870	1.027071	2.472055
1.002925	0.679399	0.406669	1.368703	2.462987	1.962406	3.079407
1.076537	0.603744	-0.037252	1.641321	2.778738	2.760337	3.500786
1.065242	0.479146	-0.483954	1.743641	2.898208	3.291267	3.664005
0.935530	0.324578	-0.889321	1.668934	2.794980	3.462403	3.531557
0.679623	0.164327	-1.211653	1.440805	2.473770	3.235092	3.108356
0.318005	0.019937	-1.418461	1.107691	1.969303	2.632649	2.441852
-0.104865	-0.096937	-1.492375	0.732872	1.339704	1.736990	1.613951
-0.530782	-0.188655	-1.435509	0.381737	0.655716	0.674605	0.726477
-0.901267	-0.271440	-1.270587	0.108962	-0.011748	-0.405379	-0.117047
-1.171193	-0.370787	-1.038367	-0.051802	-0.603245	-1.356912	-0.829470
-1.319035	-0.513431	-0.791489	-0.093883	-1.079190	-2.061654	-1.354150
-1.351358	-0.717821	-0.584957	-0.037453	-1.423463	-2.447806	-1.672412
-1.300162	-0.985666	-0.465596	0.076000	-1.641850	-2.499983	-1.802840
-1.213695	-1.296914	-0.461828	0.193814	-1.756030	-2.258337	-1.792855
-1.143106	-1.609924	-0.576502	0.264772	-1.794931	-1.807855	-1.704781
-1.128121	-1.867313	-0.784389	0.251034	-1.785690	-1.260059	-1.599750
