"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLD3TRfilt_44",348.1241,116,114,0,0.0633,0.0462,0.9432,0.9653,40952.167,40471.9299,-20121.9649,0.2602,0.5671,0.6278,0.4858,0.467,0.6325,0.3707,0.6707,0.4971,0.3786,"converged normally"
"BOLD3TRfilt_45",309.2336,119,111,0,0.0566,0.0507,0.955,0.9718,41975.7847,41508.1854,-20643.0927,0.2768,0.3673,0.5987,0.4959,0.6741,0.7221,0.3311,0.5439,-0.0479,0.3314,"converged normally"
"BOLD3TRfilt_46",355.6816,121,109,0,0.0623,0.0491,0.948,0.9669,41649.5122,41190.3381,-20486.1691,0.1011,0.5151,0.5908,0.5804,0.6321,0.7188,0.4495,0.5584,0.4134,0.3122,"converged normally"
"BOLD3TRfilt_47",355.8138,121,109,0,0.0624,0.0484,0.9466,0.966,42944.3548,42485.1808,-21133.5904,0.3776,0.5199,0.6372,0.5892,0.5636,0.5752,0.3547,0.6367,0.5177,0.2768,"converged normally"
"BOLD3TRfilt_48",353.1854,116,114,0,0.064,0.0485,0.9454,0.9667,41772.4489,41292.2118,-20532.1059,0.1417,0.5301,0.6553,0.3923,0.6056,0.6337,0.5103,0.5982,-1.7231,0.51,"converged normally"
"BOLD3TRfilt_49",297.3284,114,116,0,0.0568,0.0508,0.9531,0.9719,41535.1045,41046.4422,-20407.2211,0.2647,0.517,0.5987,0.4285,0.6154,0.6022,0.4911,0.6772,0.4745,0.4492,"converged normally"
"BOLD3TRfilt_50",299.5794,115,115,0,0.0567,0.0536,0.9511,0.9704,41888.398,41403.9483,-20586.9741,0.3795,0.4615,0.6577,0.4452,0.507,0.6842,0.2774,0.5189,0.5281,0.3963,"converged normally"
"BOLD3TRfilt_51",285.4399,109,121,0,0.057,0.0476,0.9467,0.9694,42038.4948,41528.7695,-20643.3847,0.1857,0.5202,0.6043,0.6324,0.3837,0.4453,0.2111,0.6052,0.1608,0.2548,"converged normally"
"BOLD3TRfilt_52",318.8366,119,111,0,0.058,0.0493,0.9496,0.9685,42564.7753,42097.1761,-20937.588,0.4408,0.275,0.696,0.4226,0.5704,0.5129,0.4079,0.6295,0.4183,0.4553,"converged normally"
"BOLD3TRfilt_53",374.4138,121,109,0,0.0648,0.0497,0.9333,0.9575,42733.4375,42274.2635,-21028.1317,0.2844,0.5274,0.6059,0.4115,0.3108,0.6335,0.166,0.5736,0.5703,0.2855,"converged normally"
"BOLD3TRfilt_54",372.3084,119,111,0,0.0653,0.0472,0.94,0.9624,41877.7236,41410.1243,-20594.0622,0.3764,0.5179,0.6748,0.5484,0.5619,0.5344,0.4422,0.5569,0.4582,0.3685,"converged normally"
"BOLD3TRfilt_55",329.2748,118,112,0,0.0599,0.0585,0.9527,0.9706,41432.4312,40960.6194,-20368.3097,0.3026,0.47,0.7067,0.5641,0.5168,0.6508,0.3182,0.6457,0.6129,0.4454,"converged normally"
"BOLD3TRfilt_56",361.1537,121,109,0,0.0631,0.0487,0.94,0.9618,41931.043,41471.8689,-20626.9345,0.2087,0.4057,0.5685,0.5502,0.5981,0.5746,0.2688,0.6374,0.4484,0.3753,"converged normally"
"BOLD3TRfilt_57",353.765,119,111,0,0.0629,0.0487,0.9257,0.9535,42326.3501,41858.7508,-20818.3754,0.2665,0.4552,0.5336,0.439,0.3573,0.5264,0.3437,0.3832,0.3679,0.3599,"converged normally"
"BOLD3TRfilt_58",348.8371,116,114,0,0.0634,0.048,0.9523,0.9709,41863.5637,41383.3266,-20577.6633,0.2923,0.6275,0.6947,0.5805,0.7125,0.6792,0.4267,0.5992,0.4706,0.3598,"converged normally"
"BOLD3TRfilt_59",283.8818,121,109,0,0.0519,0.0436,0.9601,0.9746,41615.403,41156.229,-20469.1145,0.2096,0.4187,0.5975,0.4197,0.4334,0.6514,0.3245,0.6844,0.2377,0.338,"converged normally"
"BOLD3TRfilt_60",288.3595,117,113,0,0.0542,0.0486,0.9555,0.9726,41904.0694,41428.0449,-20601.0224,0.2261,0.5898,0.6517,0.5289,0.406,0.5118,0.2314,0.6128,0.4872,0.484,"converged normally"
