"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","status"
"data21",63.3084,16,74,0,0.0243,0.0053,0.9985,0.9996,46652.3922,46170.1347,-23011.0674,0.9995,0.9815,0.9565,0.9848,0.9232,0.1619,"converged normally"
"data22",51.8247,16,74,0,0.0212,0.0023,0.9989,0.9997,48302.9882,47820.7307,-23836.3653,0.9995,0.9804,0.9565,0.986,0.9223,0.1703,"converged normally"
"data23",53.1998,16,74,0,0.0216,0.0023,0.9988,0.9997,47576.2806,47094.0231,-23473.0115,0.9995,0.9811,0.9569,0.9869,0.9239,0.1664,"converged normally"
"data24",64.253,16,74,0,0.0246,0.0054,0.9985,0.9996,44893.7632,44411.5057,-22131.7529,0.9994,0.9792,0.9518,0.9839,0.9169,0.1553,"converged normally"
"data25",51.2007,16,74,0,0.021,0.0056,0.9989,0.9997,47619.5624,47137.305,-23494.6525,0.9995,0.9809,0.9529,0.9853,0.9214,0.179,"converged normally"
"data26",40.4872,16,74,7e-04,0.0175,0.0043,0.9992,0.9998,46323.672,45841.4145,-22846.7072,0.9995,0.9794,0.9544,0.9848,0.9192,0.1728,"converged normally"
"data27",27.9417,16,74,0.0321,0.0122,0.0024,0.9996,0.9999,48989.3758,48507.1183,-24179.5592,0.9996,0.9827,0.9584,0.9847,0.9324,0.158,"converged normally"
"data28",73.2921,16,74,0,0.0268,0.0049,0.9981,0.9996,45653.0056,45170.7481,-22511.374,0.9995,0.9778,0.9479,0.9849,0.9193,0.1676,"converged normally"
"data29",31.2288,16,74,0.0126,0.0138,0.0037,0.9995,0.9999,47370.5265,46888.269,-23370.1345,0.9995,0.98,0.9557,0.9864,0.9212,0.1844,"converged normally"
"data3",39.8015,16,74,8e-04,0.0173,0.0048,0.9993,0.9998,45940.2059,45457.9484,-22654.9742,0.9995,0.9829,0.9524,0.9837,0.9217,0.1616,"converged normally"
"data30",64.9371,16,74,0,0.0247,0.0036,0.9985,0.9996,47357.8784,46875.6209,-23363.8104,0.9995,0.9827,0.9571,0.9852,0.9289,0.1815,"converged normally"
"data31",59.8854,16,74,0,0.0234,0.0058,0.9986,0.9997,44864.9461,44382.6886,-22117.3443,0.9995,0.9798,0.9513,0.9839,0.9225,0.152,"converged normally"
"data32",57.6343,16,74,0,0.0228,0.0061,0.9987,0.9997,47653.068,47170.8105,-23511.4053,0.9995,0.9819,0.9572,0.9854,0.9228,0.1597,"converged normally"
"data33",39.9097,16,74,8e-04,0.0173,0.0047,0.9993,0.9998,47295.7168,46813.4593,-23332.7296,0.9995,0.9812,0.961,0.9852,0.9273,0.1792,"converged normally"
"data34",48.6948,16,74,0,0.0202,0.0031,0.999,0.9997,47251.07,46768.8125,-23310.4062,0.9995,0.9804,0.9576,0.9853,0.9205,0.1671,"converged normally"
"data35",35.9118,16,74,0.003,0.0158,0.0036,0.9994,0.9998,46239.24,45756.9826,-22804.4913,0.9995,0.9805,0.9509,0.9859,0.9175,0.1564,"converged normally"
"data36",47.4545,16,74,1e-04,0.0198,0.0034,0.999,0.9998,47608.8721,47126.6146,-23489.3073,0.9995,0.9827,0.9584,0.9864,0.928,0.1594,"converged normally"
"data37",79.6538,16,74,0,0.0282,0.0048,0.9979,0.9995,42664.2338,42181.9763,-21016.9882,0.9993,0.9734,0.9393,0.9845,0.9044,0.1546,"converged normally"
"data38",53.9422,16,74,0,0.0218,0.002,0.9988,0.9997,45822.0316,45339.7741,-22595.8871,0.9995,0.9785,0.955,0.9849,0.9194,0.1688,"converged normally"
"data39",56.8662,16,74,0,0.0226,0.0051,0.9987,0.9997,45803.0483,45320.7908,-22586.3954,0.9995,0.98,0.9544,0.9839,0.9163,0.1616,"converged normally"
"data4",50.9724,16,74,0,0.0209,0.0035,0.9989,0.9997,47510.2751,47028.0176,-23440.0088,0.9995,0.9817,0.9551,0.9853,0.9264,0.1815,"converged normally"
"data40",74.5339,16,74,0,0.0271,0.0042,0.9982,0.9996,47710.3506,47228.0931,-23540.0466,0.9996,0.9821,0.9597,0.9852,0.9249,0.1799,"converged normally"
"data41",47.4737,16,74,1e-04,0.0198,0.0041,0.999,0.9998,44744.5511,44262.2936,-22057.1468,0.9995,0.9786,0.95,0.9862,0.91,0.1582,"converged normally"
"data42",98.2303,16,74,0,0.0321,0.0058,0.9973,0.9994,45187.2762,44705.0187,-22278.5093,0.9995,0.9784,0.9462,0.9846,0.9162,0.1549,"converged normally"
"data43",48.2079,16,74,0,0.0201,0.0058,0.999,0.9998,47258.4732,46776.2157,-23314.1078,0.9995,0.9816,0.9586,0.9856,0.9234,0.1681,"converged normally"
"data44",69.457,16,74,0,0.0259,0.0062,0.9983,0.9996,48785.8919,48303.6344,-24077.8172,0.9996,0.9832,0.9557,0.9848,0.9243,0.1851,"converged normally"
"data45",58.6642,16,74,0,0.0231,0.0068,0.9986,0.9997,45652.8407,45170.5832,-22511.2916,0.9995,0.977,0.9474,0.9845,0.9097,0.1608,"converged normally"
"data46",42.7303,16,74,3e-04,0.0183,0.0046,0.9992,0.9998,45319.5795,44837.322,-22344.661,0.9995,0.9816,0.9601,0.9842,0.9251,0.156,"converged normally"
"data47",46.1097,16,74,1e-04,0.0194,0.0018,0.9991,0.9998,46950.0921,46467.8346,-23159.9173,0.9995,0.9804,0.9577,0.9862,0.9215,0.1758,"converged normally"
"data48",76.3136,16,74,0,0.0275,0.0038,0.9981,0.9995,45403.4763,44921.2188,-22386.6094,0.9995,0.9802,0.9528,0.9849,0.9176,0.1876,"converged normally"
"data49",79.4128,16,74,0,0.0282,0.004,0.998,0.9995,47939.946,47457.6885,-23654.8443,0.9995,0.9815,0.9561,0.9855,0.9245,0.1741,"converged normally"
"data5",52.513,16,74,0,0.0214,0.0045,0.9988,0.9997,44424.655,43942.3975,-21897.1987,0.9995,0.978,0.9522,0.9834,0.9152,0.1456,"converged normally"
"data50",52.3489,16,74,0,0.0213,0.0059,0.9989,0.9997,46319.0086,45836.7511,-22844.3755,0.9995,0.982,0.9601,0.9857,0.9294,0.1407,"converged normally"
"data51",69.8101,16,74,0,0.0259,0.0026,0.9983,0.9996,44521.3292,44039.0717,-21945.5358,0.9994,0.9773,0.9468,0.9845,0.9097,0.1741,"converged normally"
"data52",44.335,16,74,2e-04,0.0188,0.0036,0.9991,0.9998,47685.3687,47203.1112,-23527.5556,0.9995,0.9814,0.9559,0.9851,0.9252,0.1682,"converged normally"
"data53",52.5631,16,74,0,0.0214,0.004,0.9988,0.9997,46789.6498,46307.3923,-23079.6962,0.9995,0.9797,0.9533,0.9854,0.918,0.1737,"converged normally"
"data54",75.8603,16,74,0,0.0274,0.0045,0.9981,0.9995,46679.964,46197.7065,-23024.8532,0.9995,0.9798,0.9537,0.9856,0.9198,0.1725,"converged normally"
"data55",54.761,16,74,0,0.022,0.0038,0.9988,0.9997,44613.2237,44130.9662,-21991.4831,0.9995,0.9802,0.9556,0.9846,0.9195,0.161,"converged normally"
"data56",61.0083,16,74,0,0.0237,0.0064,0.9986,0.9997,44712.6983,44230.4408,-22041.2204,0.9995,0.9789,0.9521,0.9841,0.9209,0.1708,"converged normally"
"data57",56.2395,16,74,0,0.0224,0.0059,0.9987,0.9997,45891.0237,45408.7662,-22630.3831,0.9995,0.9797,0.9519,0.9836,0.9169,0.1576,"converged normally"
"data58",65.3945,16,74,0,0.0249,0.0048,0.9985,0.9996,47061.145,46578.8875,-23215.4437,0.9995,0.9822,0.9561,0.9835,0.9285,0.1774,"converged normally"
"data59",68.6992,16,74,0,0.0257,0.0059,0.9983,0.9996,45091.9391,44609.6817,-22230.8408,0.9995,0.978,0.9514,0.9851,0.912,0.1723,"converged normally"
"data6",49.9888,16,74,0,0.0206,0.0042,0.9989,0.9997,47288.0213,46805.7638,-23328.8819,0.9995,0.9812,0.9561,0.9841,0.9245,0.1643,"converged normally"
"data60",54.9682,16,74,0,0.0221,0.0023,0.9988,0.9997,47653.0905,47170.833,-23511.4165,0.9995,0.9809,0.9527,0.9856,0.9262,0.1769,"converged normally"
"data7",41.1019,16,74,5e-04,0.0177,0.0036,0.9992,0.9998,48120.0848,47637.8273,-23744.9137,0.9995,0.9804,0.9559,0.9855,0.9236,0.1787,"converged normally"
"data8",40.2184,16,74,7e-04,0.0174,0.0039,0.9992,0.9998,47338.8337,46856.5762,-23354.2881,0.9996,0.9823,0.9595,0.985,0.9256,0.1531,"converged normally"
"data9",57.5254,16,74,0,0.0228,0.0057,0.9987,0.9997,49227.3757,48745.1183,-24298.5591,0.9996,0.9835,0.9629,0.9858,0.9313,0.1716,"converged normally"
