"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data19",82.8555,74,78,0.2251,0.0049,0.0022,1,1,37391.5558,36883.2303,-18363.6152,0.9999,0.9998,0.9997,0.9998,0.9995,0.4194,0.9485,0.9804,"converged normally"
"data2",79.5238,74,78,0.3093,0.0039,0.0024,1,1,40455.2459,39946.9204,-19895.4602,0.9999,0.9999,0.9998,0.9999,0.9998,0.4269,0.9581,0.9841,"converged normally"
"data20",74.4648,74,78,0.463,0.0011,0.0028,1,1,38306.2942,37797.9687,-18820.9844,0.9999,0.9999,0.9998,0.9999,0.9997,0.4338,0.9628,0.9731,"converged normally"
"data21",82.9596,74,78,0.2227,0.0049,0.0026,1,1,40547.397,40039.0716,-19941.5358,0.9999,0.9999,0.9998,0.9999,0.9997,0.4362,0.9622,0.975,"converged normally"
"data22",63.6422,74,78,0.7993,0,0.0021,1.0001,1,35559.3507,35051.0252,-17447.5126,0.9999,0.9999,0.9998,0.9999,0.9996,0.4546,0.9452,0.9743,"converged normally"
"data23",82.4495,74,78,0.2345,0.0048,0.002,1,1,36630.8819,36122.5565,-17983.2782,0.9999,0.9999,0.9998,0.9999,0.9997,0.4258,0.9551,0.9747,"converged normally"
"data24",66.0508,74,78,0.7334,0,0.0029,1,1,40256.3626,39748.0372,-19796.0186,0.9999,0.9999,0.9998,0.9999,0.9997,0.4179,0.9514,0.9825,"converged normally"
"data25",79.3277,74,78,0.3148,0.0038,0.0022,1,1,37041.621,36533.2956,-18188.6478,0.9998,0.9999,0.9998,0.9999,0.9997,0.426,0.9563,0.9805,"converged normally"
"data26",61.0062,74,78,0.8604,0,0.0038,1.0001,1,35737.6497,35229.3242,-17536.6621,0.9999,0.9999,0.9998,0.9999,0.9997,0.4304,0.9525,0.9767,"converged normally"
"data27",101.0697,74,78,0.02,0.0086,0.0067,0.9999,0.9999,36479.8659,35971.5404,-17907.7702,0.9999,0.9999,0.9998,0.9999,0.9997,0.4201,0.9612,0.9764,"converged normally"
"data28",71.3874,74,78,0.5645,0,0.0029,1,1,37448.1565,36939.8311,-18391.9155,0.9999,0.9999,0.9998,0.9998,0.9996,0.442,0.9515,0.9784,"converged normally"
"data29",79.4329,74,78,0.3119,0.0038,0.0038,1,1,35736.6632,35228.3377,-17536.1689,0.9998,0.9999,0.9997,0.9998,0.9996,0.4268,0.9533,0.9799,"converged normally"
"data3",76.3436,74,78,0.4031,0.0025,0.0075,1,1,40625.5237,40117.1983,-19980.5991,0.9999,0.9999,0.9998,0.9999,0.9998,0.4313,0.9547,0.9848,"converged normally"
"data30",85.9253,74,78,0.162,0.0057,0.0031,0.9999,1,41109.1822,40600.8567,-20222.4283,0.9999,0.9999,0.9998,0.9998,0.9997,0.4785,0.9643,0.9828,"converged normally"
"data31",65.3035,74,78,0.7548,0,0.0051,1,1,36094.094,35585.7686,-17714.8843,0.9998,0.9999,0.9997,0.9998,0.9995,0.4355,0.9456,0.9793,"converged normally"
"data32",62.4928,74,78,0.8275,0,0.0024,1.0001,1,35679.422,35171.0965,-17507.5483,0.9998,0.9999,0.9998,0.9998,0.9996,0.4137,0.9534,0.9768,"converged normally"
"data33",73.6317,74,78,0.4902,0,0.0031,1,1,36214.7385,35706.413,-17775.2065,0.9999,0.9999,0.9997,0.9998,0.9996,0.4179,0.9555,0.9736,"converged normally"
"data34",79.9035,74,78,0.299,0.004,0.0025,1,1,34658.8535,34150.5281,-16997.264,0.9998,0.9999,0.9997,0.9998,0.9996,0.4321,0.9503,0.9734,"converged normally"
"data35",77.7751,74,78,0.3595,0.0032,0.0027,1,1,37039.2573,36530.9319,-18187.4659,0.9999,0.9999,0.9998,0.9998,0.9996,0.4391,0.9564,0.9802,"converged normally"
"data36",80.7506,74,78,0.2765,0.0043,0.003,1,1,39619.0948,39110.7693,-19477.3847,0.9999,0.9999,0.9998,0.9999,0.9998,0.4383,0.9566,0.9846,"converged normally"
"data37",79.4264,74,78,0.312,0.0038,0.0022,1,1,39082.9552,38574.6297,-19209.3149,0.9999,0.9999,0.9998,0.9999,0.9997,0.4501,0.9527,0.9838,"converged normally"
"data38",72.5599,74,78,0.5256,0,0.0041,1,1,35086.844,34578.5186,-17211.2593,0.9999,0.9999,0.9998,0.9998,0.9996,0.4152,0.9455,0.9743,"converged normally"
"data39",60.7038,74,78,0.8666,0,0.0045,1.0001,1,36371.6488,35863.3233,-17853.6616,0.9998,0.9999,0.9998,0.9998,0.9996,0.4299,0.9476,0.9772,"converged normally"
"data4",76.8788,74,78,0.3866,0.0028,0.0035,1,1,36079.2988,35570.9733,-17707.4866,0.9998,0.9999,0.9997,0.9998,0.9996,0.4208,0.9548,0.9719,"converged normally"
"data40",99.8237,74,78,0.0244,0.0084,0.0024,0.9999,0.9999,38216.3681,37708.0426,-18776.0213,0.9999,0.9999,0.9998,0.9999,0.9997,0.4346,0.9638,0.9782,"converged normally"
"data41",76.1146,74,78,0.4103,0.0024,0.0045,1,1,35301.3236,34792.9982,-17318.4991,0.9999,0.9999,0.9998,0.9999,0.9997,0.4362,0.9534,0.9717,"converged normally"
"data42",80.0945,74,78,0.2938,0.0041,0.0036,1,1,33875.3424,33367.017,-16605.5085,0.9998,0.9999,0.9997,0.9998,0.9996,0.4247,0.9499,0.9764,"converged normally"
"data43",62.7168,74,78,0.8222,0,0.0046,1.0001,1,39690.3268,39182.0014,-19513.0007,0.9999,0.9999,0.9998,0.9999,0.9997,0.3978,0.9528,0.9848,"converged normally"
"data44",94.0314,74,78,0.058,0.0074,0.002,0.9999,0.9999,35270.6723,34762.3469,-17303.1734,0.9999,0.9999,0.9998,0.9998,0.9996,0.4351,0.9481,0.9719,"converged normally"
"data45",89.0426,74,78,0.1121,0.0064,0.0019,0.9999,1,34571.1545,34062.829,-16953.4145,0.9998,0.9999,0.9998,0.9999,0.9996,0.4073,0.9511,0.9773,"converged normally"
"data46",108.3772,74,78,0.0057,0.0096,0.0045,0.9998,0.9999,39305.3751,38797.0496,-19320.5248,0.9999,0.9999,0.9998,0.9999,0.9997,0.4442,0.9444,0.9818,"converged normally"
"data47",76.9796,74,78,0.3835,0.0028,0.0055,1,1,37983.0577,37474.7322,-18659.3661,0.9999,0.9999,0.9998,0.9999,0.9997,0.4419,0.9605,0.9818,"converged normally"
"data48",60.7846,74,78,0.865,0,0.0012,1.0001,1,41183.9152,40675.5897,-20259.7949,0.9999,0.9999,0.9998,0.9999,0.9997,0.4332,0.9605,0.9826,"converged normally"
"data49",68.9963,74,78,0.6427,0,0.0017,1,1,37585.1796,37076.8542,-18460.4271,0.9999,0.9999,0.9998,0.9999,0.9997,0.415,0.9619,0.9733,"converged normally"
"data5",81.0584,74,78,0.2686,0.0044,0.0015,1,1,38336.2834,37827.9579,-18835.979,0.9999,0.9999,0.9998,0.9999,0.9997,0.4345,0.9576,0.9794,"converged normally"
"data50",80.9174,74,78,0.2722,0.0043,0.0051,1,1,35508.7565,35000.431,-17422.2155,0.9999,0.9999,0.9998,0.9998,0.9996,0.4317,0.9379,0.9806,"converged normally"
"data51",53.7256,74,78,0.9635,0,0.0035,1.0001,1,37748.5105,37240.185,-18542.0925,0.9999,0.9999,0.9998,0.9999,0.9997,0.4427,0.9497,0.9827,"converged normally"
"data52",61.1439,74,78,0.8575,0,0.0031,1.0001,1,38534.3336,38026.0082,-18935.0041,0.9999,0.9999,0.9998,0.9998,0.9996,0.4271,0.9498,0.9781,"converged normally"
"data53",77.3506,74,78,0.3722,0.003,0.0017,1,1,40783.4783,40275.1528,-20059.5764,0.9999,0.9999,0.9998,0.9999,0.9998,0.4319,0.9532,0.9849,"converged normally"
"data54",71.9767,74,78,0.5449,0,0.0031,1,1,36198.424,35690.0985,-17767.0492,0.9999,0.9999,0.9998,0.9999,0.9997,0.4484,0.9494,0.9779,"converged normally"
"data55",57.2384,74,78,0.9254,0,0.0025,1.0001,1,36249.1856,35740.8601,-17792.4301,0.9999,0.9999,0.9998,0.9999,0.9996,0.4263,0.947,0.9814,"converged normally"
"data56",79.2237,74,78,0.3177,0.0038,0.0037,1,1,38462.852,37954.5265,-18899.2633,0.9999,0.9999,0.9998,0.9999,0.9997,0.4432,0.9637,0.9798,"converged normally"
"data57",82.7076,74,78,0.2285,0.0049,0.0015,1,1,37676.9661,37168.6407,-18506.3203,0.9999,0.9999,0.9998,0.9999,0.9997,0.4306,0.9551,0.9807,"converged normally"
"data58",64.6477,74,78,0.7729,0,0.004,1,1,36683.6453,36175.3198,-18009.6599,0.9999,0.9999,0.9998,0.9999,0.9997,0.4325,0.9551,0.9759,"converged normally"
"data59",57.9538,74,78,0.9151,0,0.0047,1.0001,1,37517.3558,37009.0303,-18426.5152,0.9999,0.9999,0.9998,0.9999,0.9997,0.4702,0.9568,0.9809,"converged normally"
"data6",75.5209,74,78,0.429,0.002,0.0032,1,1,36328.434,35820.1085,-17832.0543,0.9998,0.9999,0.9997,0.9998,0.9996,0.4258,0.9494,0.9818,"converged normally"
"data60",65.4082,74,78,0.7518,0,0.0027,1,1,35314.8416,34806.5161,-17325.258,0.9999,0.9999,0.9997,0.9998,0.9996,0.428,0.9525,0.9711,"converged normally"
"data7",81.0356,74,78,0.2692,0.0044,0.0035,1,1,38046.7286,37538.4031,-18691.2016,0.9999,0.9999,0.9998,0.9998,0.9996,0.4604,0.9429,0.9812,"converged normally"
"data8",71.9876,74,78,0.5446,0,0.0032,1,1,37340.6283,36832.3028,-18338.1514,0.9999,0.9999,0.9998,0.9999,0.9997,0.4188,0.9497,0.9801,"converged normally"
"data9",58.2697,74,78,0.9102,0,0.002,1.0001,1,38657.8843,38149.5588,-18996.7794,0.9999,0.9999,0.9998,0.9999,0.9997,0.4257,0.9503,0.986,"converged normally"
