"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","status"
"data28",19.3106,12,78,0.0813,0.011,0.0041,0.9996,0.9999,57425.3647,56917.0393,-28380.5196,0.9984,0.898,0.9696,0.9814,0.9611,0.1265,"converged normally"
"data29",18.2953,12,78,0.107,0.0102,0.0031,0.9997,0.9999,59948.9326,59440.6072,-29642.3036,0.9982,0.9073,0.9664,0.98,0.9596,0.1333,"converged normally"
"data3",22.0573,12,78,0.0369,0.0129,0.0046,0.9995,0.9999,57755.4509,57247.1255,-28545.5627,0.9982,0.9102,0.9683,0.9819,0.963,0.1308,"converged normally"
"data30",26.7523,12,78,0.0084,0.0157,0.0024,0.9993,0.9999,60330.7748,59822.4493,-29833.2247,0.9982,0.9072,0.9649,0.979,0.9587,0.1413,"converged normally"
"data31",33.1964,12,78,9e-04,0.0188,0.0057,0.9989,0.9998,60249.9862,59741.6607,-29792.8304,0.9984,0.8991,0.9644,0.9801,0.9559,0.1516,"converged normally"
"data32",30.9658,12,78,0.002,0.0178,0.003,0.9991,0.9998,59949.5778,59441.2524,-29642.6262,0.998,0.8922,0.9667,0.9802,0.9594,0.1278,"converged normally"
"data33",28.8026,12,78,0.0042,0.0167,0.0048,0.9992,0.9999,58793.7828,58285.4574,-29064.7287,0.9984,0.9018,0.9665,0.9815,0.9589,0.1379,"converged normally"
"data34",43.4959,12,78,0,0.0229,0.0024,0.9985,0.9997,58507.2736,57998.9481,-28921.4741,0.9986,0.9067,0.9654,0.9807,0.9595,0.1366,"converged normally"
"data35",14.5192,12,78,0.2688,0.0065,0.0035,0.9999,1,60593.3703,60085.0449,-29964.5224,0.9983,0.9019,0.9654,0.9784,0.9547,0.1399,"converged normally"
"data36",35.8103,12,78,3e-04,0.0199,0.0043,0.9988,0.9998,57485.2735,56976.948,-28410.474,0.9982,0.9026,0.9689,0.9823,0.9631,0.1395,"converged normally"
"data37",55.4065,12,78,0,0.0269,0.0053,0.9978,0.9996,61519.9524,61011.627,-30427.8135,0.9982,0.9021,0.9632,0.9786,0.9547,0.1421,"converged normally"
"data38",53.631,12,78,0,0.0263,0.0051,0.998,0.9996,57991.7235,57483.3981,-28663.699,0.9984,0.9085,0.9679,0.9815,0.9604,0.1372,"converged normally"
"data39",22.0617,12,78,0.0368,0.013,0.0038,0.9995,0.9999,60629.133,60120.8075,-29982.4038,0.9981,0.9007,0.9654,0.9789,0.9588,0.1325,"converged normally"
"data4",39.2238,12,78,1e-04,0.0213,0.0044,0.9986,0.9998,61091.3403,60583.0148,-30213.5074,0.9985,0.9017,0.9636,0.9781,0.9542,0.1344,"converged normally"
"data40",27.2604,12,78,0.0071,0.0159,0.0046,0.9993,0.9999,58351.0478,57842.7223,-28843.3612,0.9984,0.9081,0.9676,0.9811,0.9581,0.1283,"converged normally"
"data41",40.835,12,78,1e-04,0.0219,0.0049,0.9986,0.9997,60930.5233,60422.1978,-30133.0989,0.9984,0.8981,0.9633,0.9779,0.9545,0.1458,"converged normally"
"data42",40.614,12,78,1e-04,0.0218,0.0024,0.9986,0.9997,58832.2055,58323.8801,-29083.94,0.9983,0.9017,0.9676,0.9814,0.9593,0.1379,"converged normally"
"data43",29.3285,12,78,0.0035,0.017,0.0041,0.9991,0.9998,59764.1298,59255.8043,-29549.9022,0.9983,0.9009,0.9649,0.9801,0.9589,0.1362,"converged normally"
"data44",35.1997,12,78,4e-04,0.0197,0.0038,0.9989,0.9998,58846.8909,58338.5654,-29091.2827,0.9981,0.9131,0.9675,0.9813,0.9617,0.1295,"converged normally"
"data45",21.8696,12,78,0.039,0.0128,0.0066,0.9995,0.9999,58997.0905,58488.765,-29166.3825,0.9982,0.9007,0.968,0.9807,0.96,0.1248,"converged normally"
"data46",33.8485,12,78,7e-04,0.0191,0.0024,0.9989,0.9998,59978.6484,59470.323,-29657.1615,0.998,0.8975,0.9661,0.9806,0.9594,0.1217,"converged normally"
"data47",33.3377,12,78,9e-04,0.0189,0.0051,0.999,0.9998,58579.6783,58071.3529,-28957.6764,0.9982,0.9011,0.9677,0.9813,0.9616,0.1462,"converged normally"
"data48",25.8319,12,78,0.0113,0.0152,0.0025,0.9993,0.9999,59307.955,58799.6295,-29321.8148,0.9984,0.8966,0.9651,0.9808,0.9573,0.1364,"converged normally"
"data49",64.1144,12,78,0,0.0295,0.0036,0.9974,0.9995,59769.1321,59260.8067,-29552.4033,0.9983,0.9054,0.9659,0.9806,0.9584,0.1207,"converged normally"
"data5",33.764,12,78,7e-04,0.019,0.0031,0.9989,0.9998,58197.232,57688.9065,-28766.4533,0.9983,0.9029,0.9669,0.9819,0.9627,0.132,"converged normally"
"data50",32.4136,12,78,0.0012,0.0184,0.0049,0.999,0.9998,59899.4603,59391.1348,-29617.5674,0.9982,0.8973,0.967,0.9796,0.9583,0.1529,"converged normally"
"data51",24.905,12,78,0.0153,0.0147,0.0035,0.9994,0.9999,59294.1547,58785.8292,-29314.9146,0.9983,0.903,0.9669,0.9799,0.9606,0.1258,"converged normally"
"data52",37.7898,12,78,2e-04,0.0207,0.0042,0.9987,0.9998,59248.6488,58740.3234,-29292.1617,0.9984,0.903,0.9646,0.9796,0.9592,0.129,"converged normally"
"data53",39.0217,12,78,1e-04,0.0212,0.005,0.9987,0.9998,60787.7432,60279.4178,-30061.7089,0.9984,0.902,0.9628,0.9785,0.9561,0.1514,"converged normally"
"data54",46.0831,12,78,0,0.0238,0.0048,0.9983,0.9997,59734.3972,59226.0717,-29535.0359,0.9981,0.8957,0.9661,0.9809,0.9583,0.1278,"converged normally"
"data55",23.3937,12,78,0.0246,0.0138,0.003,0.9994,0.9999,58216.1695,57707.8441,-28775.922,0.9984,0.901,0.9667,0.9814,0.9623,0.1123,"converged normally"
"data56",23.7649,12,78,0.0219,0.014,0.0026,0.9994,0.9999,61031.0759,60522.7504,-30183.3752,0.9982,0.9067,0.9646,0.9792,0.9567,0.128,"converged normally"
"data57",40.7849,12,78,1e-04,0.0219,0.0042,0.9986,0.9997,59109.14,58600.8145,-29222.4073,0.9981,0.8999,0.9667,0.9814,0.9606,0.1137,"converged normally"
"data58",36.5838,12,78,3e-04,0.0202,0.006,0.9988,0.9998,60837.9044,60329.5789,-30086.7895,0.9984,0.9009,0.9635,0.9789,0.9568,0.1219,"converged normally"
"data59",22.7988,12,78,0.0295,0.0134,0.0026,0.9995,0.9999,59946.0027,59437.6772,-29640.8386,0.9985,0.9003,0.9647,0.9791,0.9586,0.1278,"converged normally"
"data6",29.5292,12,78,0.0033,0.0171,0.0046,0.9991,0.9998,59123.7669,58615.4415,-29229.7207,0.9983,0.9018,0.9665,0.9805,0.9607,0.1285,"converged normally"
"data60",35.0254,12,78,5e-04,0.0196,0.0033,0.9989,0.9998,60311.4846,59803.1591,-29823.5796,0.9983,0.9044,0.9645,0.979,0.9588,0.1218,"converged normally"
"data7",34.691,12,78,5e-04,0.0194,0.007,0.9989,0.9998,61545.7006,61037.3751,-30440.6875,0.9981,0.8965,0.9629,0.9789,0.9573,0.1394,"converged normally"
"data8",39.6121,12,78,1e-04,0.0215,0.0056,0.9986,0.9997,60914.5525,60406.227,-30125.1135,0.9984,0.9006,0.9634,0.9794,0.9574,0.1283,"converged normally"
"data9",37.3481,12,78,2e-04,0.0206,0.006,0.9988,0.9998,59309.3963,58801.0708,-29322.5354,0.9982,0.8958,0.9668,0.9809,0.9605,0.1496,"converged normally"
