X1	X2	X3	X4	X5	X6	X7	X8	X9
1.340525	0.965709	1.051586	0.773304	0.866676	1.034457	1.583445	0.854009	1.014173
1.220142	0.900793	1.384631	1.384796	0.975273	1.283374	1.437678	1.214886	0.738610
0.071890	0.248709	0.857762	1.239582	-0.364527	0.503489	0.497841	0.935615	-0.040595
-1.257940	-0.206767	-0.259653	0.046953	-1.327280	-0.571475	-1.259293	0.152916	-0.760996
-1.353637	-0.458040	-0.727240	0.578579	-1.358710	-0.456301	-1.056591	-0.264969	-1.145308
-1.084351	-0.195755	-0.704083	-0.534801	-0.601731	-0.446632	-0.701466	-0.853846	-1.273002
-1.171509	-0.603756	-1.395354	-1.438830	-0.942693	-0.399255	-1.751816	-1.807386	-1.265375
-1.111676	-0.422351	-1.578629	-1.235455	-0.774748	-0.919176	-1.843477	-1.297865	-1.202143
-0.756741	-0.502217	-1.220584	-1.166268	-0.731541	-0.561070	-1.522378	-0.305978	-1.130300
-0.883603	-1.166865	-1.408240	-0.734243	-0.805181	-1.193640	-1.636522	-1.454136	-1.072481
-0.860171	-1.045848	-0.983079	-1.216083	-0.858701	-1.305468	-0.957468	-1.463254	-1.033115
-1.033346	-1.138934	-0.708955	-0.685062	-0.992439	-0.874552	-0.579689	-0.736622	-0.761242
0.450466	1.066930	0.999058	0.558187	0.750733	1.005969	1.307672	1.276838	0.016240
1.666863	1.634961	1.782138	1.750995	1.450100	1.254595	2.175937	1.329579	0.738610
1.568296	1.327188	1.854824	0.893104	1.772368	1.900533	2.393315	1.903010	1.125382
1.700514	1.226458	1.433734	1.648349	1.734803	1.408456	1.839197	1.881407	1.252092
1.468865	0.878633	1.135219	1.362895	1.594006	0.840007	1.145142	1.752332	1.240528
1.578048	1.196315	1.513753	1.157310	1.667896	1.509436	1.205203	1.399324	1.175082
1.988577	1.223631	0.941129	1.610602	1.978873	1.504885	1.202771	1.297651	1.104961
1.395063	1.192413	1.121364	1.036495	1.541147	1.149145	1.485788	1.326019	1.049110
1.224132	0.805032	1.134050	0.581367	1.121839	1.064377	0.710872	0.774255	1.008268
0.711062	0.695845	0.643341	1.541081	-0.009816	-0.156486	0.366669	0.936925	0.731720
