"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","status"
"data36",72.2106,99,90,0.9803,0,0.0027,1.0002,1,-36241.432,-36827.9614,18503.9807,0.7907,0.7604,0.873,0.8026,0.8806,0.9996,0.9992,0.9988,0.9583,"converged normally"
"data37",88.6521,99,90,0.7627,0,0.0034,1.0001,1,-35480.213,-36066.7424,18123.3712,0.7724,0.7484,0.8661,0.786,0.8779,0.9997,0.9993,0.999,0.9573,"converged normally"
"data38",102.3407,99,90,0.3889,0.0026,0.0038,1,1,-33710.2779,-34296.8073,17238.4036,0.7825,0.7442,0.8772,0.7874,0.8796,0.9998,0.9995,0.9993,0.9617,"converged normally"
"data39",128.4288,99,90,0.025,0.0077,0.0044,0.9998,0.9999,-35815.2544,-36401.7838,18290.8919,0.7998,0.7516,0.8695,0.7929,0.8787,0.9997,0.9995,0.9992,0.9505,"converged normally"
"data4",89.3386,99,90,0.7462,0,0.0039,1.0001,1,-34556.1011,-35142.6305,17661.3152,0.7854,0.7658,0.8868,0.7963,0.8765,0.9997,0.9993,0.999,0.9605,"converged normally"
"data40",94.5876,99,90,0.6067,0,0.0036,1,1,-36013.3321,-36599.8615,18389.9308,0.7611,0.7527,0.8883,0.7906,0.8818,0.9997,0.9994,0.9991,0.9511,"converged normally"
"data41",104.0318,99,90,0.345,0.0032,0.004,1,1,-36558.344,-37144.8734,18662.4367,0.7761,0.7558,0.8818,0.7843,0.8758,0.9997,0.9994,0.9991,0.9616,"converged normally"
"data42",110.335,99,90,0.2051,0.0048,0.0036,0.9999,0.9999,-37231.5515,-37818.0809,18999.0404,0.7769,0.7514,0.8827,0.7813,0.8718,0.9996,0.9993,0.999,0.9535,"converged normally"
"data43",78.2006,99,90,0.9392,0,0.0034,1.0002,1,-38036.2516,-38622.781,19401.3905,0.7861,0.7561,0.8838,0.7916,0.8856,0.9995,0.9992,0.9987,0.9605,"converged normally"
"data44",123.9441,99,90,0.0456,0.0071,0.0038,0.9998,0.9999,-35220.3056,-35806.835,17993.4175,0.7854,0.7664,0.8791,0.7935,0.8796,0.9996,0.9993,0.999,0.9658,"converged normally"
"data45",110.1919,99,90,0.2078,0.0048,0.0037,0.9999,0.9999,-34897.859,-35484.3884,17832.1942,0.7909,0.771,0.8857,0.7959,0.8839,0.9996,0.9994,0.9991,0.9539,"converged normally"
"data46",93.6165,99,90,0.6339,0,0.0029,1,1,-33840.3506,-34426.88,17303.44,0.7802,0.7557,0.8773,0.8009,0.8885,0.9997,0.9994,0.9991,0.9534,"converged normally"
"data47",87.5179,99,90,0.7887,0,0.003,1.0001,1,-34080.1627,-34666.6921,17423.346,0.7975,0.7628,0.8871,0.7956,0.8849,0.9997,0.9995,0.9992,0.9579,"converged normally"
"data48",97.5705,99,90,0.5218,0,0.0025,1,1,-35564.7827,-36151.3121,18165.6561,0.7812,0.7464,0.8772,0.7875,0.8779,0.9997,0.9993,0.999,0.963,"converged normally"
"data49",126.6261,99,90,0.032,0.0075,0.0041,0.9998,0.9999,-37623.8828,-38210.4121,19195.2061,0.7749,0.749,0.8778,0.7878,0.8813,0.9996,0.9992,0.9988,0.9512,"converged normally"
"data5",93.2227,99,90,0.6448,0,0.0023,1,1,-35163.604,-35750.1334,17965.0667,0.7845,0.7578,0.8817,0.7958,0.8899,0.9996,0.9992,0.999,0.9568,"converged normally"
"data50",112.3406,99,90,0.1697,0.0052,0.0038,0.9999,0.9999,-37732.0989,-38318.6282,19249.3141,0.7976,0.7593,0.8703,0.8022,0.8916,0.9996,0.9993,0.999,0.943,"converged normally"
"data51",97.6967,99,90,0.5182,0,0.0033,1,1,-35453.586,-36040.1154,18110.0577,0.7836,0.7568,0.8819,0.7902,0.8767,0.9996,0.9992,0.9989,0.9629,"converged normally"
"data52",113.9891,99,90,0.144,0.0055,0.0034,0.9999,0.9999,-33229.8505,-33816.3799,16998.19,0.7853,0.7527,0.88,0.7936,0.8822,0.9997,0.9994,0.9991,0.9655,"converged normally"
"data53",117.0967,99,90,0.1035,0.006,0.0055,0.9999,0.9999,-34901.406,-35487.9354,17833.9677,0.7752,0.7523,0.8655,0.7795,0.8678,0.9997,0.9995,0.9992,0.9555,"converged normally"
"data54",114.0979,99,90,0.1424,0.0055,0.004,0.9999,0.9999,-33733.3396,-34319.869,17249.9345,0.7896,0.7581,0.8852,0.7898,0.8835,0.9996,0.9993,0.999,0.9648,"converged normally"
"data55",93.1668,99,90,0.6463,0,0.0034,1,1,-34137.9638,-34724.4932,17452.2466,0.7844,0.758,0.8782,0.7767,0.8739,0.9997,0.9994,0.9992,0.9632,"converged normally"
"data56",104.9369,99,90,0.3224,0.0035,0.004,1,1,-37689.8685,-38276.3979,19228.199,0.7826,0.7497,0.8698,0.7974,0.886,0.9996,0.9992,0.9989,0.9477,"converged normally"
"data57",89.8523,99,90,0.7335,0,0.0035,1.0001,1,-36963.688,-37550.2174,18865.1087,0.7814,0.7479,0.8842,0.7815,0.8717,0.9996,0.9992,0.9989,0.9585,"converged normally"
"data58",92.4632,99,90,0.6655,0,0.003,1,1,-35666.2696,-36252.799,18216.3995,0.7826,0.7506,0.8785,0.7854,0.8735,0.9997,0.9993,0.999,0.9578,"converged normally"
"data59",92.5893,99,90,0.6621,0,0.0032,1,1,-37411.1329,-37997.6623,19088.8311,0.792,0.7562,0.8752,0.7852,0.8836,0.9996,0.9992,0.9988,0.9516,"converged normally"
"data6",109.8867,99,90,0.2136,0.0047,0.0036,0.9999,0.9999,-38482.8876,-39069.417,19624.7085,0.7868,0.7516,0.8667,0.7834,0.8789,0.9996,0.9992,0.9988,0.949,"converged normally"
"data60",102.6809,99,90,0.3799,0.0027,0.0025,1,1,-38381.3275,-38967.8569,19573.9284,0.7712,0.7496,0.876,0.7836,0.878,0.9996,0.9992,0.9988,0.9468,"converged normally"
"data7",131.7218,99,90,0.0156,0.0081,0.0044,0.9998,0.9998,-36549.4676,-37135.997,18657.9985,0.7901,0.7559,0.8751,0.8005,0.8857,0.9996,0.9993,0.999,0.9544,"converged normally"
"data8",117.5941,99,90,0.0979,0.0061,0.004,0.9999,0.9999,-36409.2555,-36995.7849,18587.8925,0.7755,0.7536,0.8795,0.7765,0.8745,0.9997,0.9993,0.999,0.9623,"converged normally"
"data9",86.9789,99,90,0.8006,0,0.0023,1.0001,1,-37438.6515,-38025.1809,19102.5905,0.7758,0.7409,0.8623,0.7918,0.8798,0.9996,0.9993,0.999,0.9605,"converged normally"
