"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","status"
"data39",169.5637,61,128,0,0.0189,0.0034,0.9983,0.9993,29538.4153,28704.2401,-14224.1201,0.7787,0.9238,0.9196,0.9531,0.9254,0.9842,0.9696,0.9379,0.7604,"converged normally"
"data4",198.7373,61,128,0,0.0213,0.002,0.998,0.9992,31677.7655,30843.5904,-15293.7952,0.785,0.933,0.9332,0.9567,0.9365,0.9858,0.9742,0.9496,0.7637,"converged normally"
"data40",171.2091,61,128,0,0.019,0.0029,0.9983,0.9993,29202.5691,28368.394,-14056.197,0.7608,0.9223,0.9242,0.953,0.9285,0.9851,0.972,0.9456,0.7786,"converged normally"
"data41",165.5724,61,128,0,0.0185,0.002,0.9984,0.9994,30336.7502,29502.5751,-14623.2875,0.7614,0.9179,0.9194,0.9508,0.9277,0.9848,0.9716,0.9404,0.7632,"converged normally"
"data42",179.8582,61,128,0,0.0197,0.0034,0.9983,0.9993,30358.3701,29524.195,-14634.0975,0.7939,0.9316,0.9265,0.9573,0.9326,0.9855,0.9728,0.9488,0.7559,"converged normally"
"data43",149.882,61,128,0,0.0171,0.0023,0.9987,0.9995,30512.9192,29678.7441,-14711.3721,0.7855,0.9319,0.9292,0.9567,0.9315,0.9854,0.9723,0.9457,0.7669,"converged normally"
"data44",125.979,61,128,0,0.0146,0.0024,0.999,0.9996,29041.7137,28207.5386,-13975.7693,0.7689,0.9271,0.9244,0.9547,0.9306,0.9848,0.9714,0.9409,0.7735,"converged normally"
"data45",173.0059,61,128,0,0.0192,0.0036,0.9983,0.9993,31741.7279,30907.5528,-15325.7764,0.7911,0.9299,0.9265,0.9574,0.928,0.9843,0.9703,0.9469,0.7631,"converged normally"
"data46",156.0375,61,128,0,0.0177,0.0028,0.9986,0.9994,30228.7233,29394.5482,-14569.2741,0.7765,0.9282,0.9328,0.955,0.9313,0.9856,0.9736,0.9463,0.7405,"converged normally"
"data47",156.5413,61,128,0,0.0177,0.0041,0.9986,0.9994,31381.7206,30547.5455,-15145.7728,0.7797,0.932,0.9352,0.9569,0.9349,0.9854,0.9745,0.9503,0.749,"converged normally"
"data48",205.4682,61,128,0,0.0218,0.0042,0.9979,0.9991,30552.5823,29718.4072,-14731.2036,0.7812,0.9293,0.9252,0.9574,0.9321,0.9855,0.9716,0.9449,0.7484,"converged normally"
"data49",143.7819,61,128,0,0.0165,0.0024,0.9988,0.9995,30663.6191,29829.444,-14786.722,0.7815,0.926,0.9272,0.9546,0.9304,0.9853,0.9726,0.9454,0.764,"converged normally"
"data5",150.5073,61,128,0,0.0171,0.0024,0.9987,0.9995,31308.8932,30474.7181,-15109.3591,0.7662,0.9274,0.9322,0.9537,0.9322,0.9865,0.9752,0.9478,0.7793,"converged normally"
"data50",205.3088,61,128,0,0.0218,0.0029,0.9979,0.9992,30637.2763,29803.1012,-14773.5506,0.7803,0.931,0.93,0.9556,0.9318,0.9859,0.9738,0.9458,0.7659,"converged normally"
"data51",194.1632,61,128,0,0.0209,0.0033,0.998,0.9992,29768.6683,28934.4932,-14339.2466,0.7569,0.9215,0.9253,0.95,0.9285,0.9853,0.9752,0.9445,0.7728,"converged normally"
"data52",139.9718,61,128,0,0.0161,0.0034,0.9988,0.9995,30633.4514,29799.2763,-14771.6382,0.7724,0.926,0.9312,0.9544,0.9359,0.9864,0.9748,0.9475,0.7651,"converged normally"
"data53",161.9223,61,128,0,0.0182,0.0022,0.9985,0.9994,30294.7983,29460.6231,-14602.3116,0.7687,0.9241,0.9238,0.9518,0.9292,0.9847,0.9717,0.9439,0.7756,"converged normally"
"data54",138.6027,61,128,0,0.016,0.0038,0.9988,0.9995,30973.7008,30139.5257,-14941.7628,0.7635,0.9167,0.9251,0.9488,0.9299,0.9859,0.9746,0.9428,0.7624,"converged normally"
"data55",181.5127,61,128,0,0.0199,0.0029,0.9982,0.9993,29368.3411,28534.166,-14139.083,0.767,0.9248,0.929,0.9533,0.9259,0.9844,0.9699,0.9414,0.7671,"converged normally"
"data56",163.7389,61,128,0,0.0184,0.003,0.9985,0.9994,31356.301,30522.1259,-15133.0629,0.7886,0.9294,0.9321,0.9565,0.9357,0.9864,0.9736,0.9473,0.7609,"converged normally"
"data57",184.0445,61,128,0,0.0201,0.0029,0.9981,0.9993,29554.2919,28720.1167,-14232.0584,0.7593,0.9177,0.9243,0.9476,0.9229,0.9845,0.972,0.9439,0.7577,"converged normally"
"data58",133.2344,61,128,0,0.0154,0.0033,0.9989,0.9996,29357.4947,28523.3196,-14133.6598,0.7715,0.9224,0.9231,0.9525,0.9288,0.9852,0.9718,0.9442,0.7639,"converged normally"
"data59",174.5876,61,128,0,0.0193,0.0026,0.9983,0.9993,32147.8077,31313.6325,-15528.8163,0.79,0.9303,0.9302,0.9558,0.9334,0.9862,0.9728,0.9489,0.7706,"converged normally"
"data6",145.4409,61,128,0,0.0166,0.0025,0.9987,0.9995,29938.7265,29104.5514,-14424.2757,0.7707,0.921,0.9285,0.9537,0.9296,0.986,0.9746,0.9444,0.7659,"converged normally"
"data60",164.3411,61,128,0,0.0184,0.0021,0.9985,0.9994,29597.8521,28763.677,-14253.8385,0.7765,0.9283,0.9264,0.9575,0.9328,0.9856,0.9731,0.9465,0.7805,"converged normally"
"data7",169.1062,61,128,0,0.0188,0.0033,0.9984,0.9994,31120.0353,30285.8602,-15014.9301,0.7714,0.9253,0.9316,0.9538,0.9305,0.9862,0.9757,0.9486,0.7518,"converged normally"
"data8",164.7252,61,128,0,0.0184,0.0024,0.9985,0.9994,30400.3199,29566.1448,-14655.0724,0.7791,0.9284,0.9279,0.9553,0.9323,0.9859,0.9734,0.9437,0.756,"converged normally"
"data9",157.7832,61,128,0,0.0178,0.0017,0.9986,0.9994,32735.8073,31901.6322,-15822.8161,0.8013,0.937,0.9291,0.96,0.9366,0.986,0.9715,0.9495,0.7495,"converged normally"
