"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","status"
"data46",93.6165,99,90,0.6339,0,0.0029,1,1,34158.9312,33572.4018,-16696.2009,0.7802,0.7557,0.8773,0.8009,0.8885,0.9997,0.9994,0.9991,0.9534,"converged normally"
"data47",87.5179,99,90,0.7887,0,0.003,1.0001,1,30482.2422,29895.7128,-14857.8564,0.7975,0.7628,0.8871,0.7956,0.8849,0.9997,0.9995,0.9992,0.9579,"converged normally"
"data48",97.5705,99,90,0.5218,0,0.0025,1,1,36466.8629,35880.3335,-17850.1667,0.7812,0.7464,0.8772,0.7875,0.8779,0.9997,0.9993,0.999,0.963,"converged normally"
"data49",126.6261,99,90,0.032,0.0075,0.0041,0.9998,0.9999,44202.603,43616.0736,-21718.0368,0.7749,0.749,0.8778,0.7878,0.8813,0.9996,0.9992,0.9988,0.9512,"converged normally"
"data5",93.2227,99,90,0.6448,0,0.0023,1,1,39332.7191,38746.1897,-19283.0948,0.7845,0.7578,0.8817,0.7958,0.8899,0.9996,0.9992,0.999,0.9568,"converged normally"
"data50",112.3406,99,90,0.1697,0.0052,0.0038,0.9999,0.9999,38251.754,37665.2246,-18742.6123,0.7976,0.7593,0.8703,0.8022,0.8916,0.9996,0.9993,0.999,0.943,"converged normally"
"data51",97.6967,99,90,0.5182,0,0.0033,1,1,40837.5624,40251.033,-20035.5165,0.7836,0.7568,0.8819,0.7902,0.8767,0.9996,0.9992,0.9989,0.9629,"converged normally"
"data52",113.9891,99,90,0.144,0.0055,0.0034,0.9999,0.9999,34510.8665,33924.3371,-16872.1685,0.7853,0.7527,0.88,0.7936,0.8822,0.9997,0.9994,0.9991,0.9655,"converged normally"
"data53",117.0967,99,90,0.1035,0.006,0.0055,0.9999,0.9999,33461.5568,32875.0274,-16347.5137,0.7752,0.7523,0.8655,0.7795,0.8678,0.9997,0.9995,0.9992,0.9555,"converged normally"
"data54",114.0979,99,90,0.1424,0.0055,0.004,0.9999,0.9999,38745.1753,38158.6459,-18989.3229,0.7896,0.7581,0.8852,0.7898,0.8835,0.9996,0.9993,0.999,0.9648,"converged normally"
"data55",93.1668,99,90,0.6463,0,0.0034,1,1,33614.1634,33027.634,-16423.817,0.7844,0.758,0.8782,0.7767,0.8739,0.9997,0.9994,0.9992,0.9632,"converged normally"
"data56",104.9369,99,90,0.3224,0.0035,0.004,1,1,43364.2092,42777.6798,-21298.8399,0.7826,0.7497,0.8698,0.7974,0.886,0.9996,0.9992,0.9989,0.9477,"converged normally"
"data57",89.8523,99,90,0.7335,0,0.0035,1.0001,1,42336.7597,41750.2303,-20785.1152,0.7814,0.7479,0.8842,0.7815,0.8717,0.9996,0.9992,0.9989,0.9585,"converged normally"
"data58",92.4632,99,90,0.6655,0,0.003,1,1,38348.1103,37761.5809,-18790.7905,0.7826,0.7506,0.8785,0.7854,0.8735,0.9997,0.9993,0.999,0.9578,"converged normally"
"data59",92.5893,99,90,0.6621,0,0.0032,1,1,43278.8889,42692.3595,-21256.1797,0.792,0.7562,0.8752,0.7852,0.8836,0.9996,0.9992,0.9988,0.9516,"converged normally"
"data6",109.8867,99,90,0.2136,0.0047,0.0036,0.9999,0.9999,44722.331,44135.8016,-21977.9008,0.7868,0.7516,0.8667,0.7834,0.8789,0.9996,0.9992,0.9988,0.949,"converged normally"
"data60",102.6809,99,90,0.3799,0.0027,0.0025,1,1,44715.8144,44129.285,-21974.6425,0.7712,0.7496,0.876,0.7836,0.878,0.9996,0.9992,0.9988,0.9468,"converged normally"
"data7",131.7218,99,90,0.0156,0.0081,0.0044,0.9998,0.9998,38306.2926,37719.7632,-18769.8816,0.7901,0.7559,0.8751,0.8005,0.8857,0.9996,0.9993,0.999,0.9544,"converged normally"
"data8",117.5941,99,90,0.0979,0.0061,0.004,0.9999,0.9999,37252.154,36665.6246,-18242.8123,0.7755,0.7536,0.8795,0.7765,0.8745,0.9997,0.9993,0.999,0.9623,"converged normally"
"data9",86.9789,99,90,0.8006,0,0.0023,1.0001,1,39967.2935,39380.7641,-19600.382,0.7758,0.7409,0.8623,0.7918,0.8798,0.9996,0.9993,0.999,0.9605,"converged normally"
