"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","status"
"data35",38.4891,39,51,0.493,0,0.0032,1,1,19199.3705,18867.0039,-9382.5019,0.9879,0.9736,0.9928,0.9982,0.9921,0.461,"converged normally"
"data36",33.7485,39,51,0.7079,0,0.0015,1.0001,1,22637.2309,22304.8642,-11101.4321,0.9868,0.9736,0.9919,0.9978,0.9912,0.4358,"converged normally"
"data37",32.8621,39,51,0.7449,0,0.0023,1.0001,1,19535.9518,19203.5851,-9550.7926,0.9887,0.9754,0.9927,0.9981,0.9918,0.4534,"converged normally"
"data38",31.5286,39,51,0.7968,0,0.0022,1.0001,1,16697.048,16364.6813,-8131.3407,0.9875,0.9744,0.9937,0.9984,0.9929,0.4424,"converged normally"
"data39",34.5996,39,51,0.6708,0,0.0025,1,1,17710.9732,17378.6065,-8638.3032,0.9885,0.975,0.9931,0.9983,0.9924,0.4529,"converged normally"
"data4",32.9845,39,51,0.7399,0,0.0021,1.0001,1,20234.4649,19902.0983,-9900.0491,0.9885,0.9734,0.9926,0.998,0.9915,0.4359,"converged normally"
"data40",37.2072,39,51,0.5518,0,0.0017,1,1,21753.4211,21421.0545,-10659.5272,0.988,0.9736,0.992,0.998,0.9913,0.4351,"converged normally"
"data41",56.624,39,51,0.0337,0.0095,0.0046,0.9998,0.9999,22217.1567,21884.7901,-10891.395,0.9886,0.9746,0.9917,0.9978,0.991,0.4345,"converged normally"
"data42",33.2156,39,51,0.7304,0,0.0035,1.0001,1,24679.7983,24347.4316,-12122.7158,0.9883,0.9721,0.9906,0.9976,0.9905,0.4285,"converged normally"
"data43",45.1163,39,51,0.2315,0.0056,0.0035,0.9999,1,24901.5875,24569.2209,-12233.6104,0.9884,0.9735,0.9905,0.9977,0.9903,0.4175,"converged normally"
"data44",42.229,39,51,0.3332,0.0041,0.0051,1,1,17775.5422,17443.1755,-8670.5878,0.9864,0.9738,0.9935,0.9983,0.9926,0.4484,"converged normally"
"data45",35.674,39,51,0.6224,0,0.0021,1,1,21671.3592,21338.9926,-10618.4963,0.9873,0.973,0.9923,0.998,0.9913,0.4218,"converged normally"
"data46",30.9011,39,51,0.8193,0,0.0018,1.0001,1,20282.674,19950.3073,-9924.1537,0.9884,0.9749,0.9925,0.9981,0.9918,0.424,"converged normally"
"data47",24.085,39,51,0.9708,0,6e-04,1.0002,1,15981.0228,15648.6561,-7773.3281,0.9877,0.9753,0.9938,0.9984,0.9934,0.4274,"converged normally"
"data48",40.9998,39,51,0.3829,0.0032,0.0016,1,1,21920.5991,21588.2324,-10743.1162,0.9875,0.9735,0.9922,0.998,0.9911,0.4248,"converged normally"
"data49",35.3259,39,51,0.6382,0,0.0045,1,1,20541.9555,20209.5889,-10053.7944,0.987,0.9728,0.9925,0.9982,0.9915,0.4323,"converged normally"
"data5",40.4396,39,51,0.4066,0.0027,0.0028,1,1,25061.6711,24729.3045,-12313.6522,0.9883,0.9719,0.9907,0.9976,0.9899,0.4406,"converged normally"
"data50",49.7346,39,51,0.1164,0.0074,0.0031,0.9999,0.9999,21474.8514,21142.4848,-10520.2424,0.9886,0.9754,0.992,0.9979,0.9914,0.427,"converged normally"
"data51",27.082,39,51,0.9251,0,0.002,1.0001,1,19619.8504,19287.4838,-9592.7419,0.9864,0.9723,0.9929,0.9983,0.9921,0.4309,"converged normally"
"data52",51.1508,39,51,0.0921,0.0079,0.004,0.9999,0.9999,22129.3464,21796.9798,-10847.4899,0.9875,0.9728,0.992,0.9979,0.9912,0.4472,"converged normally"
"data53",44.2136,39,51,0.2609,0.0052,0.002,0.9999,1,18515.2054,18182.8387,-9040.4194,0.9863,0.9734,0.9933,0.9983,0.9928,0.4264,"converged normally"
"data54",41.808,39,51,0.3498,0.0038,0.0034,1,1,18669.0696,18336.7029,-9117.3515,0.9878,0.9749,0.9932,0.9982,0.9926,0.4209,"converged normally"
"data55",35.7046,39,51,0.621,0,0.0067,1,1,17461.9786,17129.6119,-8513.806,0.9875,0.975,0.9936,0.9983,0.9927,0.4293,"converged normally"
"data56",41.5808,39,51,0.359,0.0036,0.0015,1,1,22459.5661,22127.1995,-11012.5997,0.9883,0.9731,0.9918,0.9978,0.9907,0.4461,"converged normally"
"data57",41.7109,39,51,0.3537,0.0037,0.0041,1,1,20786.3782,20454.0115,-10176.0058,0.9881,0.9738,0.9925,0.998,0.9914,0.4303,"converged normally"
"data58",58.068,39,51,0.0253,0.0099,0.0018,0.9998,0.9999,22327.2356,21994.8689,-10946.4345,0.988,0.9735,0.9917,0.9979,0.9913,0.4312,"converged normally"
"data59",28.8073,39,51,0.8842,0,0.0036,1.0001,1,23933.1481,23600.7814,-11749.3907,0.9875,0.9726,0.9915,0.9977,0.9905,0.4389,"converged normally"
"data6",36.0403,39,51,0.6056,0,0.0024,1,1,15573.7212,15241.3546,-7569.6773,0.9881,0.9757,0.9941,0.9984,0.9932,0.429,"converged normally"
"data60",30.4521,39,51,0.8345,0,0.0025,1.0001,1,22958.8042,22626.4376,-11262.2188,0.9874,0.9726,0.9917,0.9979,0.991,0.4243,"converged normally"
"data7",46.9763,39,51,0.1782,0.0064,0.0033,0.9999,0.9999,23223.1985,22890.8319,-11394.4159,0.9877,0.9733,0.9918,0.9979,0.9907,0.4152,"converged normally"
"data8",41.2623,39,51,0.372,0.0034,0.0028,1,1,17726.8907,17394.524,-8646.262,0.9877,0.9746,0.9934,0.9984,0.9927,0.4068,"converged normally"
"data9",41.4909,39,51,0.3626,0.0036,0.0039,1,1,17731.0262,17398.6595,-8648.3298,0.9867,0.9742,0.9937,0.9983,0.9927,0.4271,"converged normally"
